M,trial,rp_exact,rp_tau,kemeny_tau,excess_pct,kemeny_ms
4,0,True,0,0,0.0,0.1151000000163549
4,1,True,0,0,0.0,0.2712000000428816
4,2,True,0,0,0.0,0.2888999999868247
4,3,True,0,0,0.0,0.27780000004895555
4,4,True,0,0,0.0,0.270799999952942
4,5,True,0,0,0.0,0.3056000000469794
4,6,True,0,0,0.0,0.3782999999657477
4,7,True,0,0,0.0,0.18260000001646404
4,8,True,0,0,0.0,0.27710000006209157
4,9,True,0,0,0.0,0.2603000000362954
4,10,True,0,0,0.0,0.28459999998631247
4,11,True,0,0,0.0,0.2703000000110478
4,12,True,0,0,0.0,0.2712000000428816
4,13,True,0,0,0.0,0.1064999999016436
4,14,True,0,0,0.0,0.18809999994573445
4,15,True,0,0,0.0,0.2676999999948748
4,16,True,0,0,0.0,0.2690000000029613
4,17,True,0,0,0.0,0.2755000000433938
4,18,True,0,0,0.0,0.2666999999973996
4,19,True,0,0,0.0,0.47889999996186816
4,20,True,0,0,0.0,0.33849999999802094
4,21,True,0,0,0.0,0.10780000002341694
4,22,True,0,0,0.0,0.27829999999084976
4,23,True,0,0,0.0,0.1002999999855092
5,0,True,0,0,0.0,1.886700000000019
5,1,True,0,0,0.0,1.936699999987468
5,2,True,0,0,0.0,0.9742999999389212
5,3,True,0,0,0.0,1.0925999999926717
5,4,True,0,0,0.0,0.4081999999243635
5,5,True,0,0,0.0,0.3920000000334767
5,6,True,0,0,0.0,1.5364999999292195
5,7,True,0,0,0.0,1.9643999999061634
5,8,True,0,0,0.0,0.5297000000155094
5,9,True,0,0,0.0,1.5062999999599924
5,10,True,0,0,0.0,1.039600000012797
5,11,True,0,0,0.0,0.9348000000954926
5,12,True,0,0,0.0,1.2425999999550186
5,13,True,0,0,0.0,0.3980999999839696
5,14,True,0,0,0.0,0.940800000080344
5,15,True,0,0,0.0,0.9519000000182132
5,16,True,0,0,0.0,0.9536000000025524
5,17,True,0,0,0.0,0.9551999999075633
5,18,True,0,0,0.0,1.023099999997612
5,19,True,0,0,0.0,1.0577000000466796
5,20,True,0,0,0.0,1.2603000000126485
5,21,True,0,0,0.0,0.526800000102412
5,22,True,0,0,0.0,1.345099999980448
5,23,True,0,0,0.0,0.511899999992238
6,0,True,0,0,0.0,11.703499999953237
6,1,True,0,0,0.0,10.213099999987207
6,2,True,0,0,0.0,7.038599999987127
6,3,True,0,0,0.0,3.339600000003884
6,4,True,0,0,0.0,8.254200000010314
6,5,True,0,0,0.0,9.650000000078762
6,6,True,0,0,0.0,8.270999999922424
6,7,True,0,0,0.0,8.654500000034204
6,8,True,0,0,0.0,3.0547999999726017
6,9,True,0,0,0.0,7.806100000038896
6,10,True,0,0,0.0,12.099599999942257
6,11,True,0,0,0.0,7.938100000046688
6,12,True,0,0,0.0,16.77159999997002
6,13,True,0,0,0.0,16.9720999999754
6,14,True,0,0,0.0,8.176499999990483
6,15,True,0,0,0.0,3.4445000000005166
6,16,True,0,0,0.0,7.90150000000267
6,17,True,0,0,0.0,8.59580000008009
6,18,True,0,0,0.0,7.832900000039444
6,19,True,0,0,0.0,7.8197000000272965
6,20,True,0,0,0.0,3.1635000000278524
6,21,True,0,0,0.0,8.421799999950963
6,22,True,0,0,0.0,13.108299999998962
6,23,True,0,0,0.0,9.06720000000405
7,0,True,0,0,0.0,110.29899999994086
7,1,True,0,0,0.0,55.67320000000109
7,2,True,0,0,0.0,51.03789999998298
7,3,True,0,0,0.0,113.21529999997892
7,4,True,0,0,0.0,67.7150999999867
7,5,True,0,0,0.0,55.02790000002733
7,6,True,0,0,0.0,74.36680000000706
7,7,True,0,0,0.0,44.3644999999151
7,8,True,0,0,0.0,58.43010000000959
7,9,True,0,0,0.0,88.12769999997272
7,10,True,0,0,0.0,57.41100000000188
7,11,True,0,0,0.0,122.84039999997276
7,12,True,0,0,0.0,90.46339999997599
7,13,True,0,0,0.0,92.59190000000217
7,14,True,0,0,0.0,64.62220000003072
7,15,True,0,0,0.0,94.29560000000947
7,16,True,0,0,0.0,89.43499999998039
7,17,True,0,0,0.0,100.48369999992701
7,18,True,0,0,0.0,95.93040000004294
7,19,True,0,0,0.0,143.21749999999156
7,20,True,0,0,0.0,95.07030000008854
7,21,True,0,0,0.0,68.96199999994224
7,22,True,0,0,0.0,98.47800000000007
7,23,True,0,0,0.0,91.92749999999705
8,0,True,0,0,0.0,741.1080000000538
8,1,True,0,0,0.0,733.3918000000494
8,2,True,0,0,0.0,700.5251999999018
8,3,True,0,0,0.0,791.9221999999309
8,4,True,0,0,0.0,719.5377999998982
8,5,True,0,0,0.0,705.8173000000352
8,6,True,0,0,0.0,742.9682000000639
8,7,True,0,0,0.0,835.2899000000207
8,8,True,0,0,0.0,841.1225000000968
8,9,True,0,0,0.0,702.4497999999539
8,10,True,0,0,0.0,873.5612000000401
8,11,True,0,0,0.0,962.628499999937
8,12,True,0,0,0.0,710.7040999999299
8,13,True,0,0,0.0,834.4806999999719
8,14,True,0,0,0.0,421.4481999999862
8,15,True,0,0,0.0,642.9255000000467
8,16,True,0,0,0.0,717.4734999999828
8,17,True,0,0,0.0,707.0864000000938
8,18,True,0,0,0.0,671.7146999999386
8,19,True,0,0,0.0,423.3140999999705
8,20,True,0,0,0.0,712.4196999999413
8,21,True,0,0,0.0,972.2263000001021
8,22,True,0,0,0.0,707.858500000043
8,23,True,0,0,0.0,698.3496999999943
