M,trial,tau_total_ms,rp_ms,lww_ms,vc_ms,merge_thr_ops_s,rp_tau
5,0,0.6905999999844425,0.07329999993999081,0.03440000000409782,0.05599999997230043,68212.82406675848,0
5,1,0.4823999998961881,0.0490999999556152,0.021100000026308408,0.032500000088475645,101832.99398207407,0
5,2,0.5568000000266693,0.06059999998342391,0.031399999897985253,0.04659999990508368,82508.25084765123,0
5,3,0.5908000000545144,0.06619999999202264,0.02910000000611035,0.047900000026857015,75528.70091544591,0
5,4,0.46820000000025175,0.044800000068789814,0.018799999907059828,0.03040000001419685,111607.14268577156,0
5,5,0.5163000000720785,0.059400000054665725,0.02559999995810358,0.04250000006322807,84175.08409761799,0
5,6,0.5754000000024462,0.0651999999945474,0.025399999913133797,0.04720000003999303,76687.11657083045,0
5,7,0.5506000001105349,0.06220000000212167,0.026400000024295878,0.04179999996267725,80385.85208729016,0
5,8,0.5754000000024462,0.06419999999707215,0.02610000001368462,0.04149999995206599,77881.61994124649,0
5,9,0.5970000000843356,0.06639999992330559,0.028499999984887836,0.045699999986936746,75301.20490625274,0
5,10,0.5535000000236323,0.06310000003395544,0.027499999987412593,0.05800000008093775,79239.30265149595,0
5,11,0.553200000013021,0.06399999995210237,0.028399999905559525,0.04500000000007276,78125.00005846878,0
8,0,1.1864000000514352,0.09209999996073748,0.037199999951553764,0.04740000008496281,86862.10644310994,0
8,1,0.9000999999670967,0.0906999999870095,0.027199999976801337,0.048699999979362474,88202.86660579713,0
8,2,0.847099999987222,0.0933000000031825,0.022299999955066596,0.05040000007738854,85744.9088931095,0
8,3,0.79690000006849,0.11800000004313915,0.028400000019246363,0.048199999923781434,67796.61014470604,0
8,4,0.8182999999917229,0.09560000000874425,0.023700000042481406,0.041699999997035775,83682.0083605467,0
8,5,0.8520000000089567,0.09000000000014552,0.02380000000812288,0.03630000003340683,88888.88888874518,0
8,6,0.839299999938703,0.09370000009312207,0.022400000034394907,0.043399999981375004,85378.86864513706,0
8,7,0.8356000000731001,0.09539999996377446,0.02170000004753092,0.04250000006322807,83857.44237985095,0
8,8,0.8413999998992949,0.09339999996882398,0.047900000026857015,0.07310000000870787,85653.10495364372,0
8,9,0.8554999999432766,0.10350000002290471,0.022999999941930582,0.04230000001825829,77294.68597323273,0
8,10,0.8105000000568907,0.09760000000369473,0.02289999997628911,0.0429000000394808,81967.21311165116,0
8,11,0.7742999999891254,0.08850000006077607,0.021400000036919664,0.040500000068277586,90395.48016391094,0
10,0,1.269600000000537,0.1461999999037289,0.02750000010109943,0.053999999977349944,68399.45284941785,0
10,1,1.2265000000297732,0.14170000008562056,0.024499999994986865,0.04789999991317018,70571.63016201564,0
10,2,1.284500000110711,0.16319999997449486,0.02289999997628911,0.04200000000764703,61274.50981349764,0
10,3,1.7970999999761261,0.20199999994474638,0.038099999983387534,0.07389999996121333,49504.95050859073,0
10,4,1.7540000000053624,0.2008000000159882,0.03389999994851678,0.07289999996373808,49800.79680878374,0
10,5,1.7577999999502936,0.20429999995030812,0.03299999991668301,0.07759999994050304,48947.62605204258,0
10,6,1.6876999999340114,0.1935999999886917,0.03390000006220362,0.0835999999253545,51652.89256500055,0
10,7,1.4347999999699823,0.18620000003011228,0.02740000002177112,0.05390000001170847,53705.69279475188,0
10,8,1.5300000000024738,0.13619999992897647,0.03529999992224475,0.0678000000107204,73421.43909849228,0
10,9,1.4510000000882428,0.14070000008814532,0.029700000027332862,0.045999999997548,71073.20535703788,0
10,10,1.914800000008654,0.17779999996037077,0.0442000000475673,0.09780000004866451,56242.9696413322,0
10,11,2.019799999970928,0.37229999998089625,0.043500000060703314,0.054499999919244146,26860.059093508266,0
15,0,2.881800000068324,0.33189999999194697,0.037700000007134804,0.07770000001983135,45194.33564436261,0
15,1,3.4567000000151893,0.3819999999450374,0.04330000001573353,0.08239999999659631,39267.015712456065,0
15,2,7.217999999966196,0.805600000035156,0.07709999999860884,0.1111999999920954,18619.66236264326,0
15,3,5.032599999935883,0.3498000000945467,0.05779999992228113,0.08349999995971302,42881.64664364117,0
15,4,3.4965999999485575,0.4957999999533058,0.05870000006780174,0.11800000004313915,30254.13473459599,0
15,5,3.7642999999434323,0.3604999999424763,0.03209999999853608,0.0704000000268934,41608.876566972256,0
15,6,2.905299999952149,0.321499999927255,0.03309999999601132,0.07829999992736703,46656.29861086785,0
15,7,2.9232000000547487,0.30779999997321283,0.028499999984887836,0.07199999993190431,48732.943474026695,0
15,8,3.5943000000315806,0.3211999999166437,0.028499999984887836,0.07670000002235611,46699.87547911808,0
15,9,2.7357999999821914,0.43870000001788867,0.04309999997076375,0.12070000002495362,34191.930702959544,0
15,10,2.6895999999396736,0.31089999993128004,0.030199999969227065,0.07129999994504033,48247.02477747036,0
15,11,3.4161999999469117,0.4437000000052649,0.041300000020783045,0.0850000000127693,33806.626098314206,0
20,0,5.242799999905401,0.7871000000250206,0.055400000064764754,0.17420000006040937,25409.731926520435,0
20,1,6.082699999979013,0.8526000000301792,0.06429999996271363,0.16349999998510611,23457.658924808897,0
20,2,7.3163000000704415,0.8950999999797205,0.05769999995663966,0.12570000001232984,22343.872193557283,0
20,3,5.514400000038222,0.5557999999155072,0.042600000028869545,0.08460000003651658,35984.16697200504,0
20,4,5.115000000046166,0.5990999999312407,0.09079999995265098,0.10569999994913815,33383.40844983378,0
20,5,6.60240000001977,0.5810000000110449,0.048699999979362474,0.08569999999963329,34423.407916729426,0
20,6,5.6596000000581625,0.6001000000424028,0.03970000000208529,0.10980000001836743,33327.77870119448,0
20,7,7.346499999925982,0.9015999999064661,0.06059999998342391,0.145800000041163,22182.78616024273,0
20,8,7.764899999983754,0.8269999999583888,0.07129999994504033,0.14670000007299677,24183.796857323236,0
20,9,7.421899999940251,0.8849000000736851,0.06100000007336348,0.16340000001946464,22601.423887823046,0
20,10,7.323100000007798,0.9960999999520936,0.059400000054665725,0.26049999996757833,20078.30539199064,0
20,11,8.369900000047892,1.2496000000510321,0.06759999996575061,0.12179999998807034,16005.121638270826,0
30,0,17.255299999987983,1.9859999999880529,0.09729999999308347,0.2557999999908134,15105.740181359753,0
30,1,20.01359999997021,2.0501000000194836,0.08279999997284904,0.2703999999766893,14633.432515347977,0
30,2,17.9196999999931,2.1806999999398613,0.08019999995667604,0.24039999993874517,13757.050488754681,0
30,3,17.02849999992395,1.5096000000767162,0.06529999996018887,0.17109999998865533,19872.813989451137,0
30,4,16.61679999995158,2.009400000019923,0.09969999996428669,0.27829999999084976,14929.829799792253,0
30,5,16.915599999947517,2.110399999992296,0.09909999994306418,0.377899999989495,14215.314632349086,0
30,6,15.081599999916762,1.8526999999721738,0.07460000006176415,0.2487000000428452,16192.583796864348,0
30,7,18.129299999941395,1.9992000000002008,0.08449999995718827,0.25779999998576386,15006.002400958878,0
30,8,15.752799999972922,2.2848000000976754,0.089399999978923,0.2723999999716398,13130.252100279018,0
30,9,17.44810000002417,2.422899999942274,0.10349999990921788,0.24569999993673264,12381.856453305854,0
30,10,18.151099999954567,2.061500000081651,0.09430000000065775,0.25740000000951113,14552.510307451748,0
30,11,17.613199999914286,1.96219999997993,0.12149999997745908,0.21660000004430913,15288.96137004732,0
50,0,61.11390000000938,7.052600000065468,0.13220000005276233,0.5207000000382322,7089.583983146054,0
50,1,55.01770000000761,6.89799999997831,0.11259999996582337,0.5304999999680149,7248.477819680663,0
50,2,56.11959999998817,6.933500000059212,0.13899999999011925,0.5787000000054832,7211.365111354006,0
50,3,55.65149999995356,6.833499999970627,0.11410000001887965,0.5214000000250962,7316.894709916576,0
50,4,57.05119999993258,7.157099999972161,0.11779999999816937,0.4977999999482563,6986.0697768921045,0
50,5,56.623399999921276,6.798900000035246,0.13899999999011925,0.6257000000005064,7354.130815240817,0
50,6,56.176999999934196,7.107700000005934,0.12509999999110732,0.5192000000988628,7034.624421396268,0
50,7,61.92150000003949,6.800800000064555,0.11129999995773687,0.5201000000170097,7352.076226256527,0
50,8,54.02639999999792,6.848600000012084,0.11859999995067483,0.5287999999836757,7300.762199560753,0
50,9,54.92949999995744,6.914100000017243,0.12139999989813077,0.5237999999962994,7231.599195828135,0
50,10,52.51640000005864,6.521899999938796,0.09890000001178123,0.42159999998148123,7666.477560292126,0
50,11,49.937799999952404,6.05469999993602,0.10840000004463946,0.465200000007826,8258.047467344106,0
100,0,64.46389999996427,7.871900000054666,0.07359999995060207,0.2993999999034713,12703.413407094293,0
100,1,72.29740000002494,7.8144999999949505,0.05790000000160944,0.3113999999868611,12796.724038654374,0
100,2,60.15140000010888,7.944599999973434,0.06900000005316542,0.3026999999065083,12587.166125460613,0
100,3,61.62480000000414,7.4465000000145665,0.07090000008247443,0.34399999992729136,13429.12777812454,0
100,4,68.03869999998824,8.447600000067723,0.06820000010065996,0.32699999997021223,11837.681708319324,0
100,5,57.02889999997751,7.016900000053283,0.06500000006326445,0.3461999999672116,14251.30755736018,0
100,6,66.71040000003359,8.44130000007226,0.06570000005012844,0.34679999998843414,11846.51653171241,0
100,7,63.125600000034865,7.852299999967727,0.12479999998049607,0.36910000005718757,12735.122193549789,0
100,8,57.15390000000298,7.314600000086102,0.06250000001273293,0.31829999988985946,13671.287561701649,0
100,9,60.96909999996569,7.64569999989817,0.06639999992330559,0.3175999999029955,13079.24715870775,0
100,10,58.54609999994409,7.476599999904465,0.06659999996827537,0.3303999999388907,13375.063531722679,0
100,11,62.49880000007124,7.594899999958216,0.0647000000526532,0.30970000000252185,13166.730305935584,0
