minority_frac,trial,strategy,ops_retained,info_retention,tauhat
0.1,0,leader,0.2916666666666667,1.0,0.0
0.1,0,lww,1.0,0.9990942028985508,0.0009057971014492754
0.1,0,ranked_pairs,1.0,1.0,0.0
0.1,1,leader,0.2916666666666667,1.0,0.0
0.1,1,lww,1.0,0.9990942028985508,0.0009057971014492754
0.1,1,ranked_pairs,1.0,1.0,0.0
0.1,2,leader,0.2916666666666667,1.0,0.0
0.1,2,lww,1.0,0.9990942028985508,0.0009057971014492754
0.1,2,ranked_pairs,1.0,1.0,0.0
0.1,3,leader,0.2916666666666667,1.0,0.0
0.1,3,lww,1.0,0.9995471014492754,0.0004528985507246377
0.1,3,ranked_pairs,1.0,1.0,0.0
0.1,4,leader,0.2916666666666667,1.0,0.0
0.1,4,lww,1.0,0.9990942028985508,0.0009057971014492754
0.1,4,ranked_pairs,1.0,1.0,0.0
0.1,5,leader,0.2916666666666667,1.0,0.0
0.1,5,lww,1.0,1.0,0.0
0.1,5,ranked_pairs,1.0,1.0,0.0
0.1,6,leader,0.2916666666666667,1.0,0.0
0.1,6,lww,1.0,1.0,0.0
0.1,6,ranked_pairs,1.0,1.0,0.0
0.1,7,leader,0.2916666666666667,1.0,0.0
0.1,7,lww,1.0,0.9995471014492754,0.0004528985507246377
0.1,7,ranked_pairs,1.0,1.0,0.0
0.1,8,leader,0.2916666666666667,1.0,0.0
0.1,8,lww,1.0,1.0,0.0
0.1,8,ranked_pairs,1.0,1.0,0.0
0.1,9,leader,0.2916666666666667,1.0,0.0
0.1,9,lww,1.0,0.9995471014492754,0.0004528985507246377
0.1,9,ranked_pairs,1.0,1.0,0.0
0.1,10,leader,0.2916666666666667,1.0,0.0
0.1,10,lww,1.0,0.9995471014492754,0.0004528985507246377
0.1,10,ranked_pairs,1.0,1.0,0.0
0.1,11,leader,0.2916666666666667,1.0,0.0
0.1,11,lww,1.0,1.0,0.0
0.1,11,ranked_pairs,1.0,1.0,0.0
0.1,12,leader,0.2916666666666667,1.0,0.0
0.1,12,lww,1.0,1.0,0.0
0.1,12,ranked_pairs,1.0,1.0,0.0
0.1,13,leader,0.2916666666666667,1.0,0.0
0.1,13,lww,1.0,0.9995471014492754,0.0004528985507246377
0.1,13,ranked_pairs,1.0,1.0,0.0
0.1,14,leader,0.2916666666666667,1.0,0.0
0.1,14,lww,1.0,1.0,0.0
0.1,14,ranked_pairs,1.0,1.0,0.0
0.2,0,leader,0.25,1.0,0.0
0.2,0,lww,1.0,1.0,0.0
0.2,0,ranked_pairs,1.0,1.0,0.0
0.2,1,leader,0.25,1.0,0.0
0.2,1,lww,1.0,1.0,0.0
0.2,1,ranked_pairs,1.0,1.0,0.0
0.2,2,leader,0.25,1.0,0.0
0.2,2,lww,1.0,0.9995471014492754,0.0004528985507246377
0.2,2,ranked_pairs,1.0,1.0,0.0
0.2,3,leader,0.25,1.0,0.0
0.2,3,lww,1.0,0.9995471014492754,0.0004528985507246377
0.2,3,ranked_pairs,1.0,1.0,0.0
0.2,4,leader,0.25,1.0,0.0
0.2,4,lww,1.0,1.0,0.0
0.2,4,ranked_pairs,1.0,1.0,0.0
0.2,5,leader,0.25,1.0,0.0
0.2,5,lww,1.0,0.9995471014492754,0.0004528985507246377
0.2,5,ranked_pairs,1.0,1.0,0.0
0.2,6,leader,0.25,1.0,0.0
0.2,6,lww,1.0,0.9990942028985508,0.0009057971014492754
0.2,6,ranked_pairs,1.0,1.0,0.0
0.2,7,leader,0.25,1.0,0.0
0.2,7,lww,1.0,1.0,0.0
0.2,7,ranked_pairs,1.0,1.0,0.0
0.2,8,leader,0.25,1.0,0.0
0.2,8,lww,1.0,0.9995471014492754,0.0004528985507246377
0.2,8,ranked_pairs,1.0,1.0,0.0
0.2,9,leader,0.25,1.0,0.0
0.2,9,lww,1.0,1.0,0.0
0.2,9,ranked_pairs,1.0,1.0,0.0
0.2,10,leader,0.25,1.0,0.0
0.2,10,lww,1.0,0.9995471014492754,0.0004528985507246377
0.2,10,ranked_pairs,1.0,1.0,0.0
0.2,11,leader,0.25,1.0,0.0
0.2,11,lww,1.0,1.0,0.0
0.2,11,ranked_pairs,1.0,1.0,0.0
0.2,12,leader,0.25,1.0,0.0
0.2,12,lww,1.0,1.0,0.0
