t,phase,tauhat,tau_total,info_retention,solve_ms,window_ops,jac_ab,throughput,lat_p50,lat_p95,lat_p99,cpu_avg,mem_avg,cpu_c2,read_lag,read_consistent
0.0,stable,0.0,0.0,1.0,0.4384000003483379,21,0.9047619047619048,131,1.1368999998921936,1.7320999995718012,1.7320999995718012,27.101999999999997,1.4163999999999999,11.5,0,1
3.23,stable,0.0,0.0,1.0,0.4751999995278311,21,0.9047619047619048,187,1.4076000002205546,1.6294999995807302,1.6294999995807302,26.401999999999997,1.4167999999999998,15.41,0,1
6.41,stable,0.0,0.0,1.0,0.5148999998709769,21,0.9047619047619048,177,1.5260499999385502,1.8253999996886705,1.8253999996886705,25.776,1.4166,15.63,0,1
9.41,stable,0.0,0.0,1.0,0.5123999999341322,20,1.0,195,1.6418499994870217,2.176599999984319,2.176599999984319,25.401999999999997,1.4166,14.4,0,1
12.71,stable,0.0,0.0,1.0,0.5000000001018634,20,1.0,195,1.8730499996308936,2.8638000003411435,2.8638000003411435,38.55,1.4198,16.61,0,1
16.03,stable,0.0,0.0,1.0,0.5296999997881358,21,0.9047619047619048,178,1.6747499998928106,1.941100000294682,1.941100000294682,24.922,1.4198,14.53,0,1
19.05,stable,0.0,0.0,1.0,0.5140000002938905,21,0.9047619047619048,193,1.5845500006435032,1.992400000744965,1.992400000744965,24.878,1.4196,14.8,0,1
22.33,stable,0.0,0.0,1.0,0.46660000043630134,20,1.0,192,1.3515999999071937,1.8783000004987116,1.8783000004987116,34.738,1.4176,16.68,0,1
25.59,stable,0.0,0.0,1.0,0.47389999963343143,20,1.0,178,1.621500000510423,1.8079000001307577,1.8079000001307577,25.234,1.4178000000000002,14.51,0,1
28.62,stable,0.0,0.0,1.0,0.0,0,1.0,192,1.486149999891495,1.969900000403868,1.969900000403868,24.652,1.4196,14.65,0,1
31.88,stable,0.0,0.0,1.0,0.6290999999691849,20,1.0,194,1.854750000347849,2.920300000369025,2.920300000369025,26.04,1.4167999999999998,16.48,0,1
35.17,stable,0.0,0.0,1.0,0.49250000029132934,20,1.0,177,1.4710000000377477,2.244100000098115,2.244100000098115,26.712,1.4167999999999998,15.39,0,0
38.17,stable,0.0,0.0,1.0,0.49539999963599257,21,0.9047619047619048,192,1.3844000000062806,2.0953000002918998,2.0953000002918998,26.288,1.4158,15.48,0,1
41.43,stable,0.0,0.0,1.0,0.47529999937978573,20,1.0,191,1.5720000001238077,2.397200000814337,2.397200000814337,35.182,1.4152,52.93,0,0
44.68,stable,0.0,0.0,1.0,0.4777000003741705,20,1.0,179,1.555450000523706,2.0603999992090394,2.0603999992090394,29.612000000000002,1.415,17.88,0,1
47.72,stable,0.0,0.0,1.0,0.4914999999527936,21,0.9047619047619048,192,1.5114000002540706,1.922999999806052,1.922999999806052,26.994,1.415,15.7,0,1
50.97,stable,0.0,0.0,1.0,0.48129999959201086,20,1.0,191,1.4636000000791682,1.6421999998783576,1.6421999998783576,27.742,1.4176,14.85,0,1
54.22,stable,0.0,0.0,1.0,0.49990000024990877,21,0.9047619047619048,178,1.685300000190182,2.1797999997943407,2.1797999997943407,25.1,1.4146,15.26,0,1
57.24,stable,0.0,0.0,1.0,0.5361000003176741,21,0.9047619047619048,190,1.448050000362855,1.6341999998985557,1.6341999998985557,25.727999999999998,1.4144,14.82,0,1
65.68,degraded,0.0,0.0,1.0,0.46459999975922983,20,1.0,101,1.5416500004903355,2.259500000036496,2.259500000036496,27.484,1.4144,15.13,0,1
68.39,degraded,0.0,0.0,1.0,0.4850000004807953,21,0.9047619047619048,189,1.3439999997899577,2.067899999929068,2.067899999929068,25.494,1.4142,15.63,0,1
71.61,degraded,0.0,0.0,1.0,0.5621000000246568,21,0.9047619047619048,190,1.7080500001611654,2.679800000805699,2.679800000805699,28.668,1.4187999999999998,27.06,0,1
74.83,degraded,0.0,0.0,1.0,0.480799999422743,20,1.0,178,1.5857999997024308,2.6342000001022825,2.6342000001022825,29.224,1.415,17.64,0,1
77.85,degraded,0.0,0.0,1.0,0.46519999978045234,20,1.0,193,1.435700000001816,2.457700000377372,2.457700000377372,25.395999999999997,1.4144,14.43,0,0
81.13,degraded,0.0,0.0,1.0,0.46039999961067224,20,1.0,194,1.4663499996458995,2.4413999999524094,2.4413999999524094,26.02,1.4140000000000001,14.58,0,1
84.42,degraded,0.0,0.0,1.0,0.5492999998750747,20,1.0,177,2.485300000444113,3.659500000139815,3.659500000139815,26.012,1.4148,15.57,0,1
