ts,node,cpu_pct,mem_mb,net_rx,net_tx
1789193450.9144976,ktau-cass-4,1.2,1431.552,2.08,1.38
1789193450.9145064,ktau-cass-3,1.19,1437.696,1.6,1.18
1789193450.9145088,ktau-cass-2,1.33,1428.48,2.09,1.46
1789193450.914511,ktau-cass-1,4.66,1615.872,6.09,6.58
1789193455.205874,ktau-cass-4,1.25,1431.552,2.09,1.39
1789193455.2058935,ktau-cass-3,40.33,1436.672,1.61,1.19
1789193455.2059042,ktau-cass-2,1.31,1428.48,2.1,1.47
1789193455.2059128,ktau-cass-1,1.17,1615.872,6.1,6.59
1789193459.5072436,ktau-cass-4,1.32,1431.552,2.1,1.4
1789193459.5073862,ktau-cass-3,1.26,1436.672,1.62,1.2
1789193459.507396,ktau-cass-2,1.54,1428.48,2.11,1.48
1789193459.5074046,ktau-cass-1,1.19,1615.872,6.11,6.6
1789193463.7725885,ktau-cass-4,1.4,1431.552,2.11,1.4
1789193463.7726076,ktau-cass-3,1.28,1436.672,1.63,1.2
1789193463.7726166,ktau-cass-2,1.35,1428.48,2.11,1.49
1789193463.7726247,ktau-cass-1,2.3,1615.872,6.12,6.61
1789193468.0241668,ktau-cass-4,1.23,1431.552,2.11,1.41
1789193468.0241852,ktau-cass-3,1.24,1436.672,1.64,1.21
1789193468.0241938,ktau-cass-2,1.24,1428.48,2.12,1.49
1789193468.0242019,ktau-cass-1,1.38,1615.872,6.13,6.62
1789193471.3767068,ktau-cass-4,1.35,1431.552,2.12,1.42
1789193471.376967,ktau-cass-3,1.22,1436.672,1.64,1.22
1789193471.3769734,ktau-cass-2,1.1,1429.504,2.13,1.5
1789193471.376979,ktau-cass-1,1.15,1615.872,6.13,6.62
1789193475.5796654,ktau-cass-4,2.75,1430.528,2.13,1.42
1789193475.5796838,ktau-cass-3,1.52,1437.696,1.65,1.23
1789193475.5796924,ktau-cass-2,1.21,1429.504,2.13,1.51
1789193475.5796998,ktau-cass-1,1.38,1616.896,6.14,6.63
1789193479.7916613,ktau-cass-4,1.46,1434.624,2.13,1.43
1789193479.7916799,ktau-cass-3,1.06,1437.696,1.66,1.23
1789193479.7916884,ktau-cass-2,1.04,1429.504,2.14,1.52
1789193479.7916963,ktau-cass-1,3.85,1616.896,6.15,6.64
1789193483.9814188,ktau-cass-4,1.41,1433.6,2.14,1.44
1789193483.9814365,ktau-cass-3,1.25,1437.696,1.66,1.24
1789193483.981445,ktau-cass-2,1.24,1428.48,2.15,1.52
1789193483.9814525,ktau-cass-1,1.31,1615.872,6.16,6.65
1789193488.1976864,ktau-cass-4,1.35,1433.6,2.15,1.44
1789193488.197699,ktau-cass-3,1.65,1435.648,1.67,1.25
1789193488.1977053,ktau-cass-2,1.25,1424.384,2.15,1.53
1789193488.197711,ktau-cass-1,1.61,1615.872,6.17,6.66
1789193492.3223586,ktau-cass-4,1.25,1433.6,2.15,1.45
1789193492.3223777,ktau-cass-3,1.11,1435.648,1.68,1.25
1789193492.3223867,ktau-cass-2,2.16,1425.408,2.16,1.54
1789193492.3223948,ktau-cass-1,1.19,1617.92,6.18,6.67
1789193496.494003,ktau-cass-4,1.19,1433.6,2.16,1.46
1789193496.4940085,ktau-cass-3,1.36,1435.648,1.68,1.26
1789193496.4940145,ktau-cass-2,1.24,1425.408,2.17,1.55
1789193496.4940212,ktau-cass-1,1.34,1616.896,6.19,6.68
1789193500.6900396,ktau-cass-4,1.31,1433.6,2.17,1.46
1789193500.6900532,ktau-cass-3,1.07,1435.648,1.69,1.26
1789193500.6900592,ktau-cass-2,1.63,1425.408,2.18,1.55
1789193500.6900647,ktau-cass-1,2.12,1617.92,6.2,6.69
1789193504.8752778,ktau-cass-4,1.3,1433.6,2.18,1.47
1789193504.8752956,ktau-cass-3,1.17,1435.648,1.7,1.27
1789193504.8753047,ktau-cass-2,1.13,1425.408,2.18,1.56
1789193504.875313,ktau-cass-1,1.3,1617.92,6.21,6.69
1789193509.0037947,ktau-cass-4,6.79,1435.648,2.18,1.48
1789193509.0038016,ktau-cass-3,1.22,1435.648,1.7,1.28
1789193509.0038037,ktau-cass-2,1.26,1425.408,2.19,1.57
