strategy,metric,n,mean,std,ci95_low,ci95_high,conflict,minority_frac
crdt_lww,tau_causal,30,0.0,0.0,,,high,
crdt_lww,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
crdt_lww,tauhat,30,0.00022644927536229995,0.0003311065568327153,0.00010281205512011944,0.00035008649560448046,high,
crdt_lww,info_retention,30,0.9997735507246375,0.000331106556832724,0.9996499135043952,0.9998971879448797,high,
crdt_pure,tau_causal,30,0.0,0.0,,,high,
crdt_pure,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
crdt_pure,tauhat,30,0.00022644927536229995,0.0003311065568327153,0.00010281205512011944,0.00035008649560448046,high,
crdt_pure,info_retention,30,0.9997735507246375,0.000331106556832724,0.9996499135043952,0.9998971879448797,high,
leader,tau_causal,30,0.0,0.0,,,high,
leader,tau_contested,30,0.0,0.0,,,high,
leader,tauhat,30,0.0,0.0,,,high,
leader,info_retention,30,1.0,0.0,,,high,
lww,tau_causal,30,0.0,0.0,,,high,
lww,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
lww,tauhat,30,0.00022644927536229995,0.0003311065568327153,0.00010281205512011944,0.00035008649560448046,high,
lww,info_retention,30,0.9997735507246375,0.000331106556832724,0.9996499135043952,0.9998971879448797,high,
ranked_pairs,tau_causal,30,0.0,0.0,,,high,
ranked_pairs,tau_contested,30,0.0,0.0,,,high,
ranked_pairs,tauhat,30,0.0,0.0,,,high,
ranked_pairs,info_retention,30,1.0,0.0,,,high,
vc,tau_causal,30,0.0,0.0,,,high,
vc,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
vc,tauhat,30,0.00022644927536229995,0.0003311065568327153,0.00010281205512011944,0.00035008649560448046,high,
vc,info_retention,30,0.9997735507246375,0.000331106556832724,0.9996499135043952,0.9998971879448797,high,
crdt_lww,tau_causal,30,0.0,0.0,,,low,
crdt_lww,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
crdt_lww,tauhat,30,0.0002264492753623033,0.0003713806206457228,8.777347254015845e-05,0.00036512507818444817,low,
crdt_lww,info_retention,30,0.9997735507246376,0.0003713806206457338,0.9996348749218155,0.9999122265274597,low,
crdt_pure,tau_causal,30,0.0,0.0,,,low,
crdt_pure,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
crdt_pure,tauhat,30,0.0002264492753623033,0.0003713806206457228,8.777347254015845e-05,0.00036512507818444817,low,
crdt_pure,info_retention,30,0.9997735507246376,0.0003713806206457338,0.9996348749218155,0.9999122265274597,low,
leader,tau_causal,30,0.0,0.0,,,low,
leader,tau_contested,30,0.0,0.0,,,low,
leader,tauhat,30,0.0,0.0,,,low,
leader,info_retention,30,1.0,0.0,,,low,
lww,tau_causal,30,0.0,0.0,,,low,
lww,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
lww,tauhat,30,0.0002264492753623033,0.0003713806206457228,8.777347254015845e-05,0.00036512507818444817,low,
lww,info_retention,30,0.9997735507246376,0.0003713806206457338,0.9996348749218155,0.9999122265274597,low,
ranked_pairs,tau_causal,30,0.0,0.0,,,low,
ranked_pairs,tau_contested,30,0.0,0.0,,,low,
ranked_pairs,tauhat,30,0.0,0.0,,,low,
ranked_pairs,info_retention,30,1.0,0.0,,,low,
vc,tau_causal,30,0.0,0.0,,,low,
vc,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
vc,tauhat,30,0.0002264492753623033,0.0003713806206457228,8.777347254015845e-05,0.00036512507818444817,low,
vc,info_retention,30,0.9997735507246376,0.0003713806206457338,0.9996348749218155,0.9999122265274597,low,
crdt_lww,ops_retained,30,1.0,0.0,,,,
crdt_lww,auto_coverage,30,1.0,0.0,,,,
crdt_lww,info_retention,30,0.9998490338164251,0.0002475870804304814,0.9997565832812103,0.9999414843516399,,
crdt_lww,tau_causal,30,0.0,0.0,,,,
crdt_lww,tau_contested,30,0.3333333333333333,0.5466722735905339,0.1292025515791249,0.5374641150875417,,
crdt_lww,semantic_validity,30,0.822063492063492,0.18723842319958403,0.7521475158038572,0.8919794683231269,,
crdt_lww,gini,30,0.25833333333333336,0.4019528479237621,0.10824167323120526,0.40842499343546146,,
crdt_lww,time_ms,30,0.04250333333099354,0.009562263594099464,0.038932725423658235,0.04607394123832885,,
crdt_pure,ops_retained,30,1.0,0.0,,,,
crdt_pure,auto_coverage,30,0.9083333333333332,0.07612502319926162,0.8799077825098762,0.9367588841567902,,
crdt_pure,info_retention,30,0.9998490338164251,0.0002475870804304814,0.9997565832812103,0.9999414843516399,,
crdt_pure,tau_causal,30,0.0,0.0,,,,
crdt_pure,tau_contested,30,0.3333333333333333,0.5466722735905339,0.1292025515791249,0.5374641150875417,,
crdt_pure,semantic_validity,30,0.822063492063492,0.18723842319958403,0.7521475158038572,0.8919794683231269,,
crdt_pure,gini,30,0.25833333333333336,0.4019528479237621,0.10824167323120526,0.40842499343546146,,
crdt_pure,time_ms,30,0.059516666669878725,0.015276939651255494,0.053812163653216775,0.06522116968654068,,
