strategy_a,strategy_b,metric,n,W,p,significant,note,conflict,minority_frac
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,leader,info_retention,30,0.0,0.002407884400007003,True,,high,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,ranked_pairs,info_retention,30,0.0,0.002407884400007003,True,,high,
crdt_lww,vc,info_retention,30,0.0,1.0,False,tied,high,
crdt_pure,leader,info_retention,30,0.0,0.002407884400007003,True,,high,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,high,
crdt_pure,ranked_pairs,info_retention,30,0.0,0.002407884400007003,True,,high,
crdt_pure,vc,info_retention,30,0.0,1.0,False,tied,high,
leader,lww,info_retention,30,0.0,0.002407884400007003,True,,high,
leader,ranked_pairs,info_retention,30,0.0,1.0,False,tied,high,
leader,vc,info_retention,30,0.0,0.002407884400007003,True,,high,
lww,ranked_pairs,info_retention,30,0.0,0.002407884400007003,True,,high,
lww,vc,info_retention,30,0.0,1.0,False,tied,high,
ranked_pairs,vc,info_retention,30,0.0,0.002407884400007003,True,,high,
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,leader,info_retention,30,0.0,0.004016514660032747,True,,low,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,ranked_pairs,info_retention,30,0.0,0.004016514660032747,True,,low,
crdt_lww,vc,info_retention,30,0.0,1.0,False,tied,low,
crdt_pure,leader,info_retention,30,0.0,0.004016514660032747,True,,low,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,low,
crdt_pure,ranked_pairs,info_retention,30,0.0,0.004016514660032747,True,,low,
crdt_pure,vc,info_retention,30,0.0,1.0,False,tied,low,
leader,lww,info_retention,30,0.0,0.004016514660032747,True,,low,
leader,ranked_pairs,info_retention,30,0.0,1.0,False,tied,low,
leader,vc,info_retention,30,0.0,0.004016514660032747,True,,low,
lww,ranked_pairs,info_retention,30,0.0,0.004016514660032747,True,,low,
lww,vc,info_retention,30,0.0,1.0,False,tied,low,
ranked_pairs,vc,info_retention,30,0.0,0.004016514660032747,True,,low,
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,leader,info_retention,30,0.0,0.003892417122778628,True,,,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,ranked_pairs,info_retention,30,0.0,0.003892417122778628,True,,,
crdt_lww,vc,info_retention,30,0.0,1.0,False,tied,,
crdt_pure,leader,info_retention,30,0.0,0.003892417122778628,True,,,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,,
crdt_pure,ranked_pairs,info_retention,30,0.0,0.003892417122778628,True,,,
crdt_pure,vc,info_retention,30,0.0,1.0,False,tied,,
leader,lww,info_retention,30,0.0,0.003892417122778628,True,,,
leader,ranked_pairs,info_retention,30,0.0,1.0,False,tied,,
leader,vc,info_retention,30,0.0,0.003892417122778628,True,,,
lww,ranked_pairs,info_retention,30,0.0,0.003892417122778628,True,,,
lww,vc,info_retention,30,0.0,1.0,False,tied,,
ranked_pairs,vc,info_retention,30,0.0,0.003892417122778628,True,,,
leader,lww,info_retention,15,0.0,0.00616989932054416,True,,,0.1
leader,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.1
lww,ranked_pairs,info_retention,15,0.0,0.00616989932054416,True,,,0.1
leader,lww,info_retention,15,0.0,0.009374768459434876,True,,,0.2
leader,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.2
lww,ranked_pairs,info_retention,15,0.0,0.009374768459434876,True,,,0.2
leader,lww,info_retention,15,0.0,0.002959748749966364,True,,,0.3
leader,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.3
lww,ranked_pairs,info_retention,15,0.0,0.002959748749966364,True,,,0.3
leader,lww,info_retention,15,0.0,0.023140931308743732,True,,,0.4
leader,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.4
lww,ranked_pairs,info_retention,15,0.0,0.023140931308743732,True,,,0.4
leader,lww,info_retention,15,0.0,0.025347318677468252,True,,,0.5
leader,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.5
lww,ranked_pairs,info_retention,15,0.0,0.025347318677468252,True,,,0.5
