conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
low,42000,lww,24,0.37681159420289856,34,480,0.20988158432013065,0.7901184156798693
low,42000,vc,24,0.37681159420289856,0,415,0.1694569211923234,0.8305430788076766
low,42000,crdt_pure,24,0.37681159420289856,0,429,0.17517354022049816,0.8248264597795019
low,42000,crdt_lww,24,0.37681159420289856,34,480,0.20988158432013065,0.7901184156798693
low,42000,leader,24,0.37681159420289856,0,378,0.15434871376071865,0.8456512862392813
low,42000,ranked_pairs,24,0.37681159420289856,0,319,0.13025724785626785,0.8697427521437322
low,42001,lww,24,0.32608695652173914,131,997,0.49064810787298824,0.5093518921270117
low,42001,vc,24,0.32608695652173914,0,523,0.22749021313614615,0.7725097868638539
low,42001,crdt_pure,24,0.32608695652173914,0,471,0.20487168334058287,0.7951283166594172
low,42001,crdt_lww,24,0.32608695652173914,131,997,0.49064810787298824,0.5093518921270117
low,42001,leader,24,0.32608695652173914,0,283,0.12309699869508482,0.8769030013049152
low,42001,ranked_pairs,24,0.32608695652173914,0,405,0.176163549369291,0.823836450630709
low,42002,lww,24,0.19927536231884058,54,663,0.3234100135317997,0.6765899864682003
low,42002,vc,24,0.19927536231884058,0,679,0.3062697338746053,0.6937302661253947
low,42002,crdt_pure,24,0.19927536231884058,0,513,0.2313937753721245,0.7686062246278755
low,42002,crdt_lww,24,0.19927536231884058,54,663,0.3234100135317997,0.6765899864682003
low,42002,leader,24,0.19927536231884058,0,181,0.08164185836716284,0.9183581416328371
low,42002,ranked_pairs,24,0.19927536231884058,0,409,0.18448353631032927,0.8155164636896708
low,42003,lww,24,0.37681159420289856,16,387,0.1942168674698795,0.8057831325301205
low,42003,vc,24,0.37681159420289856,0,482,0.232289156626506,0.767710843373494
low,42003,crdt_pure,24,0.37681159420289856,0,346,0.16674698795180723,0.8332530120481928
low,42003,crdt_lww,24,0.37681159420289856,16,387,0.1942168674698795,0.8057831325301205
low,42003,leader,24,0.37681159420289856,31,391,0.20337349397590362,0.7966265060240963
low,42003,ranked_pairs,24,0.37681159420289856,0,317,0.1527710843373494,0.8472289156626506
low,42004,lww,24,0.35507246376811596,8,459,0.2013799051315222,0.7986200948684778
low,42004,vc,24,0.35507246376811596,0,594,0.25614489003880986,0.7438551099611901
low,42004,crdt_pure,24,0.35507246376811596,0,432,0.18628719275549807,0.8137128072445019
