M,trial,rp_exact,rp_tau,kemeny_tau,excess_pct,kemeny_ms
4,0,True,15,15,0.0,0.48830000014277175
4,1,True,12,12,0.0,0.5029999997532286
4,2,True,11,11,0.0,0.5126999999447435
4,3,True,11,11,0.0,0.49739999985831673
4,4,True,6,6,0.0,0.497699999868928
4,5,True,16,16,0.0,0.5277999998725136
4,6,True,1,1,0.0,0.45300000010684016
4,7,True,21,21,0.0,0.497699999868928
4,8,True,6,6,0.0,0.4791999999724794
4,9,True,10,10,0.0,0.5160999999134219
4,10,True,5,5,0.0,0.46200000042517786
4,11,True,15,15,0.0,0.4932000001645065
4,12,True,11,11,0.0,0.4888999997092469
4,13,True,11,11,0.0,0.46320000001287553
4,14,True,13,13,0.0,0.47380000023622415
4,15,True,9,9,0.0,0.5065000000286091
4,16,True,9,9,0.0,0.4985000000488071
4,17,True,14,14,0.0,0.4812000001948036
4,18,True,10,10,0.0,0.47670000003563473
4,19,True,4,4,0.0,0.4702999999608437
4,20,True,8,8,0.0,0.4770999998982006
4,21,True,15,15,0.0,0.505299999986164
4,22,True,11,11,0.0,0.5033000002185872
4,23,True,7,7,0.0,0.48040000001492444
5,0,True,20,20,0.0,2.999899999849731
5,1,True,20,20,0.0,2.8099000001020613
5,2,True,21,21,0.0,2.867400000013731
5,3,True,16,16,0.0,2.832000000125845
5,4,True,18,18,0.0,2.888600000005681
5,5,True,25,25,0.0,2.818299999944429
5,6,True,20,20,0.0,2.9589999999188876
5,7,True,15,15,0.0,2.9107999998814194
5,8,True,15,15,0.0,2.847900000233494
5,9,True,11,11,0.0,2.803700000185927
5,10,True,14,14,0.0,2.934499999810214
5,11,True,18,18,0.0,2.861899999970774
5,12,True,20,20,0.0,2.9109000001881213
5,13,True,3,3,0.0,2.836399999978312
5,14,True,31,31,0.0,2.9574000000138767
5,15,True,24,24,0.0,2.8532999999697495
5,16,False,33,31,6.451612903225801,2.9565999998339976
5,17,True,25,25,0.0,2.8462000000217813
5,18,True,23,23,0.0,2.8786000002583023
5,19,True,25,25,0.0,2.9218999998192885
5,20,True,22,22,0.0,2.917000000252301
5,21,True,24,24,0.0,2.863900000193098
5,22,False,27,25,8.000000000000007,2.7593999998316576
5,23,True,19,19,0.0,2.8404999998201674
6,0,True,26,26,0.0,19.398999999793887
6,1,True,23,23,0.0,19.47279999967577
6,2,True,27,27,0.0,18.79800000006071
6,3,True,27,27,0.0,19.585600000027625
6,4,True,23,23,0.0,19.623200000296492
6,5,True,35,35,0.0,20.695100000011735
6,6,True,44,44,0.0,20.49680000027365
6,7,True,24,24,0.0,20.364800000152172
6,8,True,38,38,0.0,20.636199999898963
6,9,True,36,36,0.0,20.672199999808072
6,10,True,33,33,0.0,20.896600000014587
6,11,True,47,47,0.0,20.895199999813485
6,12,True,35,35,0.0,20.07179999964137
6,13,False,31,29,6.896551724137923,19.755699999677745
6,14,True,31,31,0.0,19.798399999672256
6,15,True,24,24,0.0,19.42989999997735
6,16,True,33,33,0.0,19.58439999998518
6,17,True,21,21,0.0,18.626200000198878
6,18,True,23,23,0.0,19.715999999789346
6,19,True,23,23,0.0,20.32069999995656
6,20,True,35,35,0.0,21.02759999979753
6,21,True,26,26,0.0,19.458799999938492
6,22,True,17,17,0.0,18.72270000012577
6,23,True,29,29,0.0,20.060299999840936
7,0,True,30,30,0.0,153.21200000016688
7,1,True,42,42,0.0,155.9890999997151
7,2,True,52,52,0.0,152.66169999995327
7,3,True,21,21,0.0,156.62420000035127
7,4,True,43,43,0.0,156.4883999999438
7,5,True,32,32,0.0,150.19929999971282
7,6,True,38,38,0.0,150.49660000022413
7,7,True,29,29,0.0,159.96210000002975
7,8,False,49,48,2.083333333333326,153.67509999987305
7,9,True,35,35,0.0,142.6277000000482
7,10,True,38,38,0.0,619.0351000000192
7,11,False,40,39,2.564102564102555,726.5888000001723
7,12,False,42,41,2.4390243902439046,747.8185999998459
7,13,True,34,34,0.0,743.5646999997516
7,14,True,49,49,0.0,786.7015000001629
7,15,True,32,32,0.0,780.9493999998267
7,16,True,41,41,0.0,775.5597000000307
7,17,True,25,25,0.0,797.1103999998377
7,18,False,50,49,2.0408163265306145,772.8836999999658
7,19,False,40,39,2.564102564102555,301.3763000003564
7,20,True,31,31,0.0,158.3031000000119
7,21,True,49,49,0.0,164.35610000007728
7,22,True,33,33,0.0,155.88600000000952
7,23,False,49,48,2.083333333333326,168.53360000004614
8,0,True,50,50,0.0,1604.3156999999155
8,1,True,65,65,0.0,1554.3030999997427
8,2,False,54,53,1.8867924528301883,1415.255200000047
8,3,True,59,59,0.0,1581.4534999999523
8,4,True,49,49,0.0,1477.670499999931
8,5,True,63,63,0.0,1610.1792999997997
8,6,True,60,60,0.0,1559.6464999998716
8,7,True,55,55,0.0,1536.935000000085
8,8,False,71,70,1.4285714285714235,1640.168200000062
8,9,True,67,67,0.0,1759.5025999999052
8,10,True,62,62,0.0,1491.671000000224
8,11,True,65,65,0.0,1593.619299999773
8,12,True,43,43,0.0,1772.3492000000078
8,13,True,67,67,0.0,1776.053999999931
8,14,True,75,75,0.0,1670.2641000001677
8,15,True,45,45,0.0,1569.807800000035
8,16,True,49,49,0.0,1699.1102000001774
8,17,True,42,42,0.0,1531.6296999999395
8,18,False,42,41,2.4390243902439046,1547.3665000004075
8,19,False,72,71,1.4084507042253502,1616.0750999997617
8,20,True,46,46,0.0,1536.7634000003818
8,21,True,68,68,0.0,1606.1564999999973
8,22,True,60,60,0.0,1467.218799999955
8,23,True,56,56,0.0,6671.3071000003765
