strategy_a,strategy_b,metric,n,W,p,significant,note,conflict,minority_frac
crdt_lww,crdt_pure,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,leader,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,lww,info_retention,15,0.0,1.0,False,tied,high,
crdt_lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,vc,info_retention,15,18.0,0.01507568359375,True,,high,
crdt_pure,leader,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_pure,lww,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_pure,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_pure,vc,info_retention,15,0.0,6.103515625e-05,True,,high,
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,high,
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
leader,vc,info_retention,15,0.0,6.103515625e-05,True,,high,
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
lww,vc,info_retention,15,18.0,0.01507568359375,True,,high,
ranked_pairs,vc,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,crdt_pure,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,leader,info_retention,15,1.0,0.0001220703125,True,,low,
crdt_lww,lww,info_retention,15,0.0,1.0,False,tied,low,
crdt_lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,vc,info_retention,15,29.0,0.083251953125,False,,low,
crdt_pure,leader,info_retention,15,3.0,0.00030517578125,True,,low,
crdt_pure,lww,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_pure,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_pure,vc,info_retention,15,10.0,0.00262451171875,True,,low,
leader,lww,info_retention,15,1.0,0.0001220703125,True,,low,
leader,ranked_pairs,info_retention,15,14.0,0.0067138671875,True,,low,
leader,vc,info_retention,15,0.0,6.103515625e-05,True,,low,
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,low,
lww,vc,info_retention,15,29.0,0.083251953125,False,,low,
ranked_pairs,vc,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,crdt_pure,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_lww,leader,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_lww,lww,info_retention,15,0.0,1.0,False,tied,,
crdt_lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_lww,vc,info_retention,15,5.0,0.0006103515625,True,,,
crdt_pure,leader,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_pure,lww,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_pure,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_pure,vc,info_retention,15,0.0,6.103515625e-05,True,,,
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,
leader,vc,info_retention,15,0.0,6.103515625e-05,True,,,
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,
lww,vc,info_retention,15,5.0,0.0006103515625,True,,,
ranked_pairs,vc,info_retention,15,0.0,6.103515625e-05,True,,,
leader,lww,info_retention,15,5.0,0.0006103515625,True,,,0.1
leader,ranked_pairs,info_retention,15,29.0,0.083251953125,False,,,0.1
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.1
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.2
leader,ranked_pairs,info_retention,15,29.0,0.083251953125,False,,,0.2
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.2
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.3
leader,ranked_pairs,info_retention,15,4.0,0.00042724609375,True,,,0.3
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.3
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.4
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.4
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.4
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.5
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.5
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.5
