conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
low,0,lww,34,480,0.7901184156798693,
low,0,vc,0,415,0.8305430788076766,
low,0,crdt_pure,0,429,0.8248264597795019,
low,0,crdt_lww,34,480,0.7901184156798693,
low,0,leader,0,378,0.8456512862392813,
low,0,ranked_pairs,0,319,0.8697427521437322,
low,0,rp_unconstrained,0,319,0.8697427521437322,0.0
low,1,lww,131,997,0.5093518921270117,
low,1,vc,0,523,0.7725097868638539,
low,1,crdt_pure,0,471,0.7951283166594172,
low,1,crdt_lww,131,997,0.5093518921270117,
low,1,leader,0,283,0.8769030013049152,
low,1,ranked_pairs,0,405,0.823836450630709,
low,1,rp_unconstrained,0,405,0.823836450630709,0.0
low,2,lww,54,663,0.6765899864682003,
low,2,vc,0,679,0.6937302661253947,
low,2,crdt_pure,0,513,0.7686062246278755,
low,2,crdt_lww,54,663,0.6765899864682003,
low,2,leader,0,181,0.9183581416328371,
low,2,ranked_pairs,0,409,0.8155164636896708,
low,2,rp_unconstrained,0,409,0.8155164636896708,0.0
low,3,lww,16,387,0.8057831325301205,
low,3,vc,0,482,0.767710843373494,
low,3,crdt_pure,0,346,0.8332530120481928,
low,3,crdt_lww,16,387,0.8057831325301205,
low,3,leader,31,391,0.7966265060240963,
low,3,ranked_pairs,0,317,0.8472289156626506,
low,3,rp_unconstrained,0,317,0.8472289156626506,0.0
low,4,lww,8,459,0.7986200948684778,
low,4,vc,0,594,0.7438551099611901,
low,4,crdt_pure,0,432,0.8137128072445019,
low,4,crdt_lww,8,459,0.7986200948684778,
low,4,leader,0,189,0.9184993531694696,
low,4,ranked_pairs,0,353,0.8477792151789565,
low,4,rp_unconstrained,0,353,0.8477792151789565,0.0
low,5,lww,61,491,0.7602085143353605,
low,5,vc,0,600,0.739357080799305,
low,5,crdt_pure,0,419,0.817984361424848,
low,5,crdt_lww,61,491,0.7602085143353605,
low,5,leader,24,238,0.8861859252823632,
low,5,ranked_pairs,0,345,0.8501303214596003,
low,5,rp_unconstrained,0,345,0.8501303214596003,0.0
low,6,lww,47,366,0.8152951699463328,
low,6,vc,0,365,0.8367620751341682,
low,6,crdt_pure,0,315,0.85912343470483,
low,6,crdt_lww,47,366,0.8152951699463328,
low,6,leader,14,235,0.8886404293381037,
low,6,ranked_pairs,0,281,0.8743291592128801,
low,6,rp_unconstrained,0,281,0.8743291592128801,0.0
low,7,lww,73,745,0.6438833260774923,
low,7,vc,0,513,0.7766652154984763,
low,7,crdt_pure,0,450,0.804092294296909,
low,7,crdt_lww,73,745,0.6438833260774923,
low,7,leader,0,359,0.8437091858946452,
low,7,ranked_pairs,0,395,0.8280365694383979,
low,7,rp_unconstrained,0,395,0.8280365694383979,0.0
low,8,lww,94,541,0.7104423164614684,
low,8,vc,0,567,0.7414500683994528,
low,8,crdt_pure,0,397,0.8189694482444141,
low,8,crdt_lww,94,541,0.7104423164614684,
low,8,leader,0,141,0.9357045143638851,
low,8,ranked_pairs,0,318,0.8549931600547196,
low,8,rp_unconstrained,0,318,0.8549931600547196,0.0
low,9,lww,85,733,0.6561580496006725,
low,9,vc,0,700,0.7057587221521648,
low,9,crdt_pure,0,494,0.7923497267759563,
low,9,crdt_lww,85,733,0.6561580496006725,
low,9,leader,0,264,0.8890290037831021,
low,9,ranked_pairs,0,393,0.8348045397225725,
low,9,rp_unconstrained,0,393,0.8348045397225725,0.0
low,10,lww,39,666,0.6844225604297225,
low,10,vc,0,397,0.8222918531781558,
low,10,crdt_pure,0,526,0.7645478961504029,
low,10,crdt_lww,39,666,0.6844225604297225,
low,10,leader,17,336,0.841987466427932,
low,10,ranked_pairs,0,356,0.8406445837063563,
low,10,rp_unconstrained,0,356,0.8406445837063563,0.0
low,11,lww,60,700,0.6654929577464789,
low,11,vc,0,516,0.772887323943662,
low,11,crdt_pure,0,506,0.7772887323943662,
