trial,strategy,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,repair_swaps
0,lww,1.0,1.0,0.634624145785877,10,792,0.3333333333333333,0.1428927680798005,
0,vc,1.0,0.45833333333333337,0.5735763097949886,0,936,1.0,0.07606837606837606,
0,crdt_pure,1.0,0.4583333333333333,0.6929384965831435,0,674,0.6666666666666666,0.13175074183976263,
0,crdt_lww,1.0,1.0,0.634624145785877,10,792,0.3333333333333333,0.1428927680798005,
0,leader,0.3333333333333333,1.0,0.9676537585421412,0,71,1.0,0.252112676056338,
0,ranked_pairs,1.0,1.0,0.7476082004555809,0,554,1.0,0.1776173285198556,
0,rp_unconstrained,1.0,1.0,0.7476082004555809,0,554,1.0,0.1776173285198556,0.0
1,lww,1.0,1.0,0.6364037020713971,7,818,0.75,0.05466666666666667,
1,vc,1.0,0.5833333333333333,0.5857205817540767,0,940,0.5,0.07042553191489362,
1,crdt_pure,1.0,0.5833333333333334,0.6967827236668136,0,688,0.25,0.13575581395348837,
1,crdt_lww,1.0,1.0,0.6364037020713971,7,818,0.75,0.05466666666666667,
1,leader,0.2916666666666667,1.0,0.9744380784486558,7,51,1.0,0.3413793103448276,
1,ranked_pairs,1.0,1.0,0.746584398413398,0,575,0.5,0.1862608695652174,
1,rp_unconstrained,1.0,1.0,0.746584398413398,0,575,0.5,0.1862608695652174,0.0
2,lww,1.0,1.0,0.6784386617100372,14,678,0.8571428571428571,0.09190751445086705,
2,vc,1.0,0.5833333333333333,0.5171933085501859,0,1039,0.7142857142857143,0.09133782483156881,
2,crdt_pure,1.0,0.5833333333333334,0.7360594795539033,0,568,0.7142857142857143,0.16126760563380282,
2,crdt_lww,1.0,1.0,0.6784386617100372,14,678,0.8571428571428571,0.09190751445086705,
2,leader,0.3333333333333333,1.0,0.9786245353159851,0,46,1.0,0.2565217391304348,
2,ranked_pairs,1.0,1.0,0.7639405204460966,0,508,0.7142857142857143,0.15078740157480314,
2,rp_unconstrained,1.0,1.0,0.7639405204460966,0,508,0.7142857142857143,0.15078740157480314,0.0
3,lww,1.0,1.0,0.6532329495128433,8,775,0.0,0.13780332056194125,
3,vc,1.0,0.7083333333333333,0.6045172719220548,0,893,0.0,0.11231802911534154,
3,crdt_pure,1.0,0.7083333333333334,0.7227635075287866,0,626,0.0,0.13386581469648562,
3,crdt_lww,1.0,1.0,0.6532329495128433,8,775,0.0,0.13780332056194125,
3,leader,0.2916666666666667,1.0,0.9720992028343667,0,63,1.0,0.24285714285714285,
3,ranked_pairs,1.0,1.0,0.766607617360496,0,527,1.0,0.16413662239089183,
3,rp_unconstrained,1.0,1.0,0.766607617360496,0,527,1.0,0.16413662239089183,0.0
4,lww,1.0,1.0,0.6642209753992232,17,761,1.0,0.13110539845758354,
4,vc,1.0,0.7916666666666666,0.5727233491583945,0,990,1.0,0.06484848484848485,
4,crdt_pure,1.0,0.7916666666666666,0.7065170479067759,0,680,1.0,0.14911764705882352,
4,crdt_lww,1.0,1.0,0.6642209753992232,17,761,1.0,0.13110539845758354,
4,leader,0.375,1.0,0.944324557617609,0,129,1.0,0.28294573643410853,
4,ranked_pairs,1.0,1.0,0.7695295640914976,0,534,1.0,0.17415730337078653,
4,rp_unconstrained,1.0,1.0,0.7695295640914976,0,534,1.0,0.17415730337078653,0.0
5,lww,1.0,1.0,0.6969561324977618,16,661,1.0,0.09911373707533234,
5,vc,1.0,0.75,0.701880035810206,0,666,1.0,0.17567567567567569,
5,crdt_pure,1.0,0.75,0.7135183527305282,0,640,1.0,0.1196875,
5,crdt_lww,1.0,1.0,0.6969561324977618,16,661,1.0,0.09911373707533234,
5,leader,0.4166666666666667,1.0,0.9444941808415398,8,116,1.0,0.2693548387096774,
5,ranked_pairs,1.0,1.0,0.7748433303491495,0,503,1.0,0.19025844930417496,
5,rp_unconstrained,1.0,1.0,0.7748433303491495,0,503,1.0,0.19025844930417496,0.0
6,lww,1.0,1.0,0.7130857648099027,0,649,1.0,0.11571648690292759,
6,vc,1.0,0.5416666666666667,0.6242263483642794,0,850,1.0,0.132,
6,crdt_pure,1.0,0.5416666666666666,0.7250221043324492,0,622,1.0,0.11543408360128618,
6,crdt_lww,1.0,1.0,0.7130857648099027,0,649,1.0,0.11571648690292759,
6,leader,0.375,1.0,0.9796640141467727,0,46,1.0,0.2956521739130435,
6,ranked_pairs,1.0,1.0,0.7696728558797524,0,521,1.0,0.13570057581573897,
6,rp_unconstrained,1.0,1.0,0.7696728558797524,0,521,1.0,0.13570057581573897,0.0
7,lww,1.0,1.0,0.6165413533834587,23,793,0.6,0.11715686274509804,
7,vc,1.0,0.5416666666666667,0.5695488721804511,0,916,0.4,0.09126637554585153,
7,crdt_pure,1.0,0.5416666666666666,0.6527255639097744,0,739,0.2,0.15493910690121787,
7,crdt_lww,1.0,1.0,0.6165413533834587,23,793,0.6,0.11715686274509804,
7,leader,0.375,1.0,0.9525375939849624,0,101,1.0,0.298019801980198,
7,ranked_pairs,1.0,1.0,0.6964285714285714,0,646,0.4,0.13808049535603714,
7,rp_unconstrained,1.0,1.0,0.6964285714285714,0,646,0.4,0.13808049535603714,0.0
8,lww,1.0,1.0,0.7236544549977386,0,611,0.4,0.12160392798690671,
8,vc,1.0,0.41666666666666663,0.5952057892356399,0,895,0.8,0.10044692737430168,
8,crdt_pure,1.0,0.4166666666666667,0.7611940298507462,0,528,0.8,0.10606060606060606,
8,crdt_lww,1.0,1.0,0.7236544549977386,0,611,0.4,0.12160392798690671,
