M,trial,rp_exact_constrained,rp_tau,constrained_kemeny_tau,unconstrained_kemeny_tau,excess_pct,rp_unconstrained_tau,unconstrained_excess_pct,rp_unc_causal_viol,constrained_ms
4,0,True,15,15,15,0.0,15,0.0,0,0.29209999956947286
4,1,True,12,12,12,0.0,12,0.0,0,0.492600000143284
4,2,True,11,11,11,0.0,11,0.0,0,0.2538999997341307
4,3,True,11,11,11,0.0,11,0.0,0,0.5644000002575922
4,4,True,6,6,6,0.0,6,0.0,0,0.2566999992268393
4,5,True,16,16,16,0.0,16,0.0,0,0.4785999999512569
4,6,True,1,1,1,0.0,1,0.0,0,0.22850000004837057
4,7,True,21,21,21,0.0,21,0.0,0,0.6593999996766797
4,8,True,6,6,6,0.0,6,0.0,0,0.13760000001639128
4,9,True,10,10,10,0.0,10,0.0,0,0.5043000001023756
4,10,True,5,5,5,0.0,5,0.0,0,0.23099999998521525
4,11,True,15,15,15,0.0,15,0.0,0,0.5203999999139342
4,12,True,11,11,11,0.0,11,0.0,0,0.24949999988166383
4,13,True,11,11,11,0.0,11,0.0,0,0.2252000003863941
4,14,True,13,13,13,0.0,13,0.0,0,0.2449000003252877
4,15,True,9,9,9,0.0,9,0.0,0,0.14770000052521937
4,16,True,9,9,9,0.0,9,0.0,0,0.25410000034753466
4,17,True,14,14,14,0.0,14,0.0,0,0.4642000003514113
4,18,True,10,10,10,0.0,10,0.0,0,0.23529999998572748
4,19,True,4,4,4,0.0,4,0.0,0,0.4946999997628154
4,20,True,8,8,8,0.0,8,0.0,0,0.096000000667118
4,21,True,15,15,15,0.0,15,0.0,0,0.49529999978403794
4,22,True,11,11,11,0.0,11,0.0,0,0.2599000008558505
4,23,True,7,7,7,0.0,7,0.0,0,0.08140000045386842
5,0,True,20,20,20,0.0,20,0.0,0,1.64889999996376
5,1,True,20,20,20,0.0,20,0.0,0,1.4535000000250875
5,2,True,21,21,21,0.0,21,0.0,0,1.547700000628538
5,3,True,16,16,16,0.0,16,0.0,0,1.6722999998819432
5,4,True,18,18,18,0.0,18,0.0,0,3.095500000199536
5,5,True,25,25,25,0.0,25,0.0,0,1.4295999999376363
5,6,True,20,20,20,0.0,20,0.0,0,1.7269999998461572
5,7,True,15,15,15,0.0,15,0.0,0,1.733099999910337
5,8,True,15,15,15,0.0,15,0.0,0,0.553300000319723
5,9,True,11,11,11,0.0,11,0.0,0,1.7760000000635046
5,10,True,14,14,14,0.0,14,0.0,0,1.5781000001879875
5,11,True,18,18,18,0.0,18,0.0,0,1.427299999704701
5,12,True,20,20,20,0.0,20,0.0,0,1.4868999996906496
5,13,True,3,3,3,0.0,3,0.0,0,0.14680000003863825
5,14,True,31,31,31,0.0,31,0.0,0,1.465499999540043
5,15,True,24,24,24,0.0,24,0.0,0,1.7278999994232436
5,16,False,33,31,31,6.451612903225801,33,6.451612903225801,0,2.17519999932847
5,17,True,25,25,25,0.0,25,0.0,0,1.5139999995881226
5,18,True,23,23,23,0.0,23,0.0,0,1.4247999997678562
5,19,True,25,25,25,0.0,25,0.0,0,1.5115000005607726
5,20,True,22,22,22,0.0,22,0.0,0,1.731899999867892
5,21,True,24,24,24,0.0,24,0.0,0,1.11179999930755
5,22,False,27,25,25,8.000000000000007,27,8.000000000000007,0,1.9083000006503426
5,23,True,19,19,19,0.0,19,0.0,0,1.6485000005559414
6,0,True,26,26,26,0.0,26,0.0,0,5.463999999847147
6,1,True,23,23,23,0.0,23,0.0,0,3.5671000005095266
6,2,True,27,27,27,0.0,27,0.0,0,10.377499999776774
6,3,True,27,27,27,0.0,27,0.0,0,10.75719999971625
6,4,True,23,23,23,0.0,23,0.0,0,7.317499999771826
6,5,True,35,35,35,0.0,35,0.0,0,22.773400000005495
6,6,True,44,44,44,0.0,44,0.0,0,11.1138000002029
6,7,True,24,24,24,0.0,24,0.0,0,5.774799999926472
6,8,True,38,38,38,0.0,38,0.0,0,5.48869999965973
6,9,True,36,36,36,0.0,36,0.0,0,5.714100000659528
6,10,True,33,33,33,0.0,33,0.0,0,11.1693999997442
6,11,True,47,47,47,0.0,47,0.0,0,22.787400000197522
6,12,True,35,35,35,0.0,35,0.0,0,22.236200000406825
6,13,False,31,29,29,6.896551724137923,31,6.896551724137923,0,2.897099999245256
6,14,True,31,31,31,0.0,31,0.0,0,8.065600000008999
6,15,True,24,24,24,0.0,24,0.0,0,10.654100000465405
6,16,True,33,33,33,0.0,33,0.0,0,5.588099999840779
6,17,True,21,21,21,0.0,21,0.0,0,7.529999999860593
6,18,True,23,23,23,0.0,23,0.0,0,9.318199999142962
6,19,True,23,23,23,0.0,23,0.0,0,1.0474999999132706
6,20,True,35,35,35,0.0,35,0.0,0,6.357600000228558
6,21,True,26,26,26,0.0,26,0.0,0,4.125899999962712
6,22,True,17,17,17,0.0,17,0.0,0,3.1312000000980333
6,23,True,29,29,29,0.0,29,0.0,0,21.751799999947252
7,0,True,30,30,30,0.0,30,0.0,0,56.618499999785854
7,1,True,42,42,42,0.0,42,0.0,0,44.364999999743304
7,2,True,52,52,52,0.0,52,0.0,0,44.786999999814725
7,3,True,21,21,21,0.0,21,0.0,0,5.019399999582674
7,4,True,43,43,43,0.0,43,0.0,0,44.472500000665605
7,5,True,32,32,32,0.0,32,0.0,0,44.72200000054727
7,6,True,38,38,38,0.0,38,0.0,0,57.96170000030543
7,7,True,29,29,29,0.0,29,0.0,0,19.745099999454396
7,8,False,49,48,48,2.083333333333326,49,2.083333333333326,0,162.83350000048813
7,9,True,35,35,35,0.0,35,0.0,0,41.99889999927109
7,10,True,38,38,38,0.0,38,0.0,0,46.991399999569694
7,11,False,40,39,39,2.564102564102555,40,2.564102564102555,0,44.98340000009193
7,12,False,42,41,41,2.4390243902439046,42,2.4390243902439046,0,47.00000000048021
7,13,True,34,34,34,0.0,34,0.0,0,47.99600000023929
7,14,True,49,49,49,0.0,49,0.0,0,47.65729999962787
7,15,True,32,32,32,0.0,32,0.0,0,48.07879999953002
7,16,True,41,41,41,0.0,41,0.0,0,58.788600000298175
7,17,True,25,25,25,0.0,25,0.0,0,60.88829999953305
7,18,False,50,49,49,2.0408163265306145,50,2.0408163265306145,0,46.63170000003447
7,19,False,40,39,39,2.564102564102555,40,2.564102564102555,0,14.970000000175787
7,20,True,31,31,31,0.0,31,0.0,0,24.827000000186672
7,21,True,49,49,49,0.0,49,0.0,0,44.96420000032231
7,22,True,33,33,33,0.0,33,0.0,0,42.97320000023319
7,23,False,49,48,48,2.083333333333326,49,2.083333333333326,0,45.928900000035355
8,0,True,50,50,50,0.0,50,0.0,0,300.370799999655
8,1,True,65,65,65,0.0,65,0.0,0,427.1437000006699
8,2,False,54,53,53,1.8867924528301883,54,1.8867924528301883,0,266.81060000009893
8,3,True,59,59,59,0.0,59,0.0,0,307.70269999993616
8,4,True,49,49,49,0.0,49,0.0,0,289.4739000003028
8,5,True,63,63,63,0.0,63,0.0,0,301.5696000002208
8,6,True,60,60,60,0.0,60,0.0,0,289.39290000016626
8,7,True,55,55,55,0.0,55,0.0,0,408.67249999973865
8,8,False,71,70,70,1.4285714285714235,71,1.4285714285714235,0,304.3323000001692
8,9,True,67,67,67,0.0,67,0.0,0,339.5694000000731
8,10,True,62,62,62,0.0,62,0.0,0,418.7194999994972
8,11,True,65,65,65,0.0,65,0.0,0,293.248300000414
8,12,True,43,43,43,0.0,43,0.0,0,293.9361999997345
8,13,True,67,67,67,0.0,67,0.0,0,290.6185000001642
8,14,True,75,75,75,0.0,75,0.0,0,442.6280999996379
8,15,True,45,45,45,0.0,45,0.0,0,440.16279999959806
8,16,True,49,49,49,0.0,49,0.0,0,345.8683999997447
8,17,True,42,42,42,0.0,42,0.0,0,288.6773999998695
8,18,False,42,41,41,2.4390243902439046,42,2.4390243902439046,0,288.1814000002123
8,19,False,72,71,71,1.4084507042253502,72,1.4084507042253502,0,525.5570999997872
8,20,True,46,46,46,0.0,46,0.0,0,408.93789999972796
8,21,True,68,68,68,0.0,68,0.0,0,377.343799999835
8,22,True,60,60,60,0.0,60,0.0,0,543.7795999996524
8,23,True,56,56,56,0.0,56,0.0,0,550.3214000000298
