M,trial,rp_ms,rp_unc_ms,lww_ms,vc_ms,merge_thr_ops_s
5,0,0.05909999981668079,0.0427999993917183,0.011299999641778413,0.012600000445672777,84602.36912875193
5,1,0.050299999202252366,0.041199999941454735,0.008400000297115184,0.012200000128359534,99403.58010534733
5,2,0.04859999990003416,0.04090000038559083,0.007999999979801942,0.012700000297627412,102880.65864783028
5,3,0.04459999945538584,0.03760000072361436,0.007799999366397969,0.013800000488117803,112107.62468734081
5,4,0.04710000030172523,0.038299999687296804,0.008099999831756577,0.012799999240087345,106157.1118464909
5,5,0.04479999915929511,0.037599999814119656,0.007999999979801942,0.012299999980314169,111607.14495153286
5,6,0.04259999968780903,0.03580000065994682,0.013900000340072438,0.011499999345687684,117370.8928789233
5,7,0.04129999979340937,0.03399999968678458,0.007699999514443334,0.01140000040322775,121065.37590825598
5,8,0.03999999989900971,0.0349000001733657,0.007300000106624793,0.010100000508828089,125000.00031559466
5,9,0.04260000059730373,0.035799999750452116,0.007300000106624793,0.010700000530050602,117370.89037309693
5,10,0.043000000005122274,0.035799999750452116,0.007200000254670158,0.011900000572495628,116279.06975359039
5,11,0.043199999709031545,0.035400000342633575,0.007599999662488699,0.011299999641778413,115740.74152029873
8,0,0.09680000039224979,0.08539999998902204,0.008099999831756577,0.014500000361294951,82644.6277642837
8,1,0.09589999990566866,0.08679999973537633,0.008200000593205914,0.016799999684735667,83420.22948768656
8,2,0.08960000013757963,0.08260000049631344,0.008199999683711212,0.014700000065204222,89285.71414861725
8,3,0.09749999935593223,0.08819999948173063,0.008100000741251279,0.01609999981155852,82051.28259329833
8,4,0.09589999990566866,0.08639999941806309,0.009000000318337698,0.017299999854003545,83420.22948768656
8,5,0.09980000049836235,0.09030000001075678,0.00869999985297909,0.015900000107649248,80160.32024099313
8,6,0.09799999952520011,0.08689999958733097,0.009299999874201603,0.01449999945180025,81632.65345672627
8,7,0.09979999958886765,0.09140000020124717,0.008600000001024455,0.014799999917158857,80160.32097150803
8,8,0.08830000024317997,0.0774000000092201,0.00830000044516055,0.014399999599845614,90600.22625105141
8,9,0.09670000054029515,0.08630000047560316,0.008199999683711212,0.015100000382517464,82730.09260911409
8,10,0.09039999986271141,0.08549999984097667,0.008700000762473792,0.014599999303754885,88495.57535563532
