M,trial,rp_exact,rp_tau,kemeny_tau,excess_pct,kemeny_ms,rp_violations,kemeny_violations,n_causal
4,0,True,20,20,0.0,0.5234000018390361,0,0,1
4,1,True,16,16,0.0,0.5290999979479238,0,0,0
4,2,True,13,13,0.0,0.5426000025181565,0,0,1
4,3,True,13,13,0.0,0.5377999987103976,0,0,0
4,4,True,9,9,0.0,0.5180999978620093,0,0,1
4,5,True,16,16,0.0,0.5988000011711847,0,0,0
4,6,True,10,10,0.0,0.5249999994703103,0,0,1
4,7,True,26,26,0.0,0.5057999987911899,0,0,0
4,8,True,12,12,0.0,0.48830000014277175,0,0,3
4,9,True,14,14,0.0,0.49679999938234687,0,0,0
4,10,True,9,9,0.0,0.5361999974411447,0,0,1
4,11,True,16,16,0.0,0.5242000006546732,0,0,0
4,12,True,10,10,0.0,0.5218000005697832,0,0,1
4,13,True,12,12,0.0,0.49170000056619756,0,0,1
4,14,True,17,17,0.0,0.49109999963548034,0,0,1
4,15,True,11,11,0.0,0.5286000014166348,0,0,3
4,16,True,11,11,0.0,0.6100999999034684,0,0,1
4,17,True,22,22,0.0,0.6802999996580184,0,0,0
4,18,True,16,16,0.0,0.4879000007349532,0,0,1
4,19,True,13,13,0.0,0.4755000009026844,0,0,0
4,20,True,13,13,0.0,0.4818999987037387,0,0,2
4,21,True,16,16,0.0,0.5676999971910845,0,0,0
4,22,True,15,15,0.0,0.5357000009098556,0,0,1
4,23,True,8,8,0.0,0.54689999888069,0,0,4
5,0,True,21,21,0.0,3.1473000017285813,0,0,1
5,1,True,21,21,0.0,2.9728999979852233,0,0,1
5,2,True,35,35,0.0,3.088900000875583,0,0,1
5,3,True,30,30,0.0,3.1960999986040406,0,0,1
5,4,True,26,26,0.0,3.156800001306692,0,0,0
5,5,True,27,27,0.0,3.0692000000271946,0,0,1
5,6,True,25,25,0.0,3.0377000002772547,0,0,1
5,7,True,21,21,0.0,2.9818000002705958,0,0,1
5,8,True,22,22,0.0,3.0482000001939014,0,0,2
5,9,True,22,22,0.0,3.16709999970044,0,0,1
5,10,True,14,14,0.0,2.9614999984914903,0,0,1
5,11,True,23,23,0.0,3.0477000000246335,0,0,1
5,12,True,26,26,0.0,3.051799998502247,0,0,1
5,13,True,5,5,0.0,3.068800000619376,0,0,6
5,14,True,36,36,0.0,3.4455000022717286,0,0,1
5,15,True,35,35,0.0,3.2653000016580336,0,0,1
5,16,True,37,37,0.0,3.1030999998620246,0,0,1
5,17,True,31,31,0.0,2.9680000006919727,0,0,1
5,18,True,27,27,0.0,2.9233999994175974,0,0,1
5,19,True,37,37,0.0,3.1447000001207925,0,0,1
5,20,True,27,27,0.0,3.0989000006229617,0,0,1
5,21,True,25,25,0.0,3.1654000013077166,0,0,2
5,22,True,32,32,0.0,3.038799997739261,0,0,1
5,23,True,24,24,0.0,3.0521999979100656,0,0,1
6,0,True,34,34,0.0,22.12630000212812,0,0,2
6,1,True,33,33,0.0,21.907999998802552,0,0,4
6,2,True,40,40,0.0,22.11350000288803,0,0,1
6,3,True,37,37,0.0,23.579799999424722,0,0,1
6,4,True,39,39,0.0,22.051799998735078,0,0,2
6,5,True,41,41,0.0,28.422300001693657,0,0,0
6,6,True,54,54,0.0,28.64649999901303,0,0,1
6,7,True,31,31,0.0,83.67019999786862,0,0,2
6,8,True,45,45,0.0,94.33649999846239,0,0,2
6,9,True,38,38,0.0,99.1001000002143,0,0,2
6,10,True,41,41,0.0,121.9280000004801,0,0,1
6,11,True,52,52,0.0,107.65629999878001,0,0,0
6,12,True,49,49,0.0,110.99819999799365,0,0,0
6,13,True,34,34,0.0,111.20830000072601,0,0,3
6,14,True,48,48,0.0,99.73059999902034,0,0,2
6,15,True,36,36,0.0,99.49340000093798,0,0,1
6,16,True,47,47,0.0,94.9731000000611,0,0,2
6,17,True,34,34,0.0,101.68329999942216,0,0,2
6,18,True,43,43,0.0,108.85499999858439,0,0,2
6,19,True,23,23,0.0,106.54270000304678,0,0,5
6,20,True,46,46,0.0,113.7099000006856,0,0,2
6,21,True,37,37,0.0,99.52490000068792,0,0,2
6,22,True,25,25,0.0,98.32359999927576,0,0,3
6,23,True,37,37,0.0,97.75720000106958,0,0,0
7,0,True,51,51,0.0,844.7302000022319,0,0,2
7,1,True,65,65,0.0,873.7074000018765,0,0,2
7,2,True,65,65,0.0,886.5660999981628,0,0,2
7,3,True,33,33,0.0,850.5951000006462,0,0,5
7,4,True,54,54,0.0,866.2301000003936,0,0,2
7,5,True,41,41,0.0,794.6038999980374,0,0,2
7,6,True,55,55,0.0,812.148500001058,0,0,2
7,7,True,42,42,0.0,882.0259999993141,0,0,5
7,8,True,82,82,0.0,864.2938999983016,0,0,0
7,9,True,66,66,0.0,849.8360999983561,0,0,2
7,10,True,68,68,0.0,834.8617999981798,0,0,2
7,11,True,57,57,0.0,811.3615000002028,0,0,2
7,12,True,51,51,0.0,855.6186999994679,0,0,2
7,13,True,41,41,0.0,871.0561000007147,0,0,2
7,14,True,66,66,0.0,857.8522999996494,0,0,2
7,15,True,44,44,0.0,860.7536000017717,0,0,2
7,16,True,58,58,0.0,850.2565999988292,0,0,2
7,17,True,42,42,0.0,826.2318999986746,0,0,2
7,18,True,54,54,0.0,801.854800000001,0,0,2
7,19,True,57,57,0.0,854.3935000016063,0,0,4
7,20,True,45,45,0.0,794.8903999968024,0,0,3
7,21,True,67,67,0.0,805.8783000014955,0,0,2
7,22,True,59,59,0.0,832.7161000015622,0,0,2
7,23,True,50,50,0.0,867.9701000000932,0,0,2
8,0,True,61,61,0.0,8332.685699999274,0,0,3
8,1,True,86,86,0.0,7375.549000000319,0,0,2
8,2,True,74,74,0.0,1698.5198000002129,0,0,2
8,3,True,80,80,0.0,2856.205600000976,0,0,3
8,4,True,67,67,0.0,1728.3028999991075,0,0,3
8,5,True,66,66,0.0,1803.0417999980273,0,0,2
8,6,True,77,77,0.0,2716.3221999981033,0,0,2
8,7,False,96,94,2.127659574468077,9108.295100002579,0,0,2
8,8,True,84,84,0.0,8745.594100000744,0,0,3
8,9,True,73,73,0.0,9178.12849999973,0,0,3
8,10,True,88,88,0.0,4116.8391999999585,0,0,2
8,11,True,88,88,0.0,1834.6880999997666,0,0,2
8,12,True,63,63,0.0,7705.695599997853,0,0,2
8,13,True,79,79,0.0,8033.731100000296,0,0,3
8,14,True,82,82,0.0,8865.48319999929,0,0,2
8,15,True,64,64,0.0,7174.599699999817,0,0,2
8,16,True,77,77,0.0,1783.7562000022444,0,0,3
8,17,True,65,65,0.0,2186.6592000005767,0,0,2
8,18,True,80,80,0.0,2404.542300002504,0,0,3
8,19,True,97,97,0.0,1701.0779999982333,0,0,2
8,20,True,80,80,0.0,1674.3949000010616,0,0,2
8,21,True,76,76,0.0,2143.0804999981774,0,0,3
8,22,True,68,68,0.0,2106.485399999656,0,0,2
8,23,True,78,78,0.0,1753.443800000241,0,0,2
