noncomm,trial,strategy,semantic_validity,auto_coverage,info_retention
0.0,0,lww,1.0,1.0,0.6760869565217391
0.0,0,vc,1.0,1.0,0.6282608695652174
0.0,0,crdt_pure,1.0,1.0,0.7050724637681159
0.0,0,crdt_lww,1.0,1.0,0.6760869565217391
0.0,0,leader,1.0,1.0,0.9239130434782609
0.0,0,ranked_pairs,1.0,1.0,0.7724637681159421
0.0,1,lww,1.0,1.0,0.6423913043478261
0.0,1,vc,1.0,1.0,0.611231884057971
0.0,1,crdt_pure,1.0,1.0,0.6692028985507246
0.0,1,crdt_lww,1.0,1.0,0.6423913043478261
0.0,1,leader,1.0,1.0,0.9485507246376812
0.0,1,ranked_pairs,1.0,1.0,0.7431159420289855
0.0,2,lww,1.0,1.0,0.5847826086956522
0.0,2,vc,1.0,1.0,0.6681159420289855
0.0,2,crdt_pure,1.0,1.0,0.6971014492753623
0.0,2,crdt_lww,1.0,1.0,0.5847826086956522
0.0,2,leader,1.0,1.0,0.9666666666666667
0.0,2,ranked_pairs,1.0,1.0,0.8
0.0,3,lww,1.0,1.0,0.6094202898550725
0.0,3,vc,1.0,1.0,0.6456521739130434
0.0,3,crdt_pure,1.0,1.0,0.6753623188405797
0.0,3,crdt_lww,1.0,1.0,0.6094202898550725
0.0,3,leader,1.0,1.0,0.9510869565217391
0.0,3,ranked_pairs,1.0,1.0,0.7405797101449275
0.0,4,lww,1.0,1.0,0.6692028985507246
0.0,4,vc,1.0,1.0,0.6192028985507246
0.0,4,crdt_pure,1.0,1.0,0.7141304347826087
0.0,4,crdt_lww,1.0,1.0,0.6692028985507246
0.0,4,leader,1.0,1.0,0.9786231884057971
0.0,4,ranked_pairs,1.0,1.0,0.7409420289855073
0.0,5,lww,1.0,1.0,0.6445652173913043
0.0,5,vc,1.0,1.0,0.5844202898550724
0.0,5,crdt_pure,1.0,1.0,0.7148550724637681
0.0,5,crdt_lww,1.0,1.0,0.6445652173913043
0.0,5,leader,1.0,1.0,0.9858695652173913
0.0,5,ranked_pairs,1.0,1.0,0.7554347826086957
0.0,6,lww,1.0,1.0,0.6423913043478261
0.0,6,vc,1.0,1.0,0.6271739130434782
0.0,6,crdt_pure,1.0,1.0,0.6829710144927537
0.0,6,crdt_lww,1.0,1.0,0.6423913043478261
0.0,6,leader,1.0,1.0,0.9844202898550725
0.0,6,ranked_pairs,1.0,1.0,0.7431159420289855
0.0,7,lww,1.0,1.0,0.6141304347826086
0.0,7,vc,1.0,1.0,0.6278985507246377
0.0,7,crdt_pure,1.0,1.0,0.6228260869565218
0.0,7,crdt_lww,1.0,1.0,0.6141304347826086
0.0,7,leader,1.0,1.0,0.9717391304347827
0.0,7,ranked_pairs,1.0,1.0,0.7090579710144927
0.0,8,lww,1.0,1.0,0.7152173913043478
0.0,8,vc,1.0,1.0,0.5992753623188406
0.0,8,crdt_pure,1.0,1.0,0.7398550724637681
0.0,8,crdt_lww,1.0,1.0,0.7152173913043478
0.0,8,leader,1.0,1.0,0.9844202898550725
0.0,8,ranked_pairs,1.0,1.0,0.7652173913043478
0.0,9,lww,1.0,1.0,0.597463768115942
0.0,9,vc,1.0,1.0,0.6503623188405797
0.0,9,crdt_pure,1.0,1.0,0.6510869565217392
0.0,9,crdt_lww,1.0,1.0,0.597463768115942
0.0,9,leader,1.0,1.0,0.9576086956521739
0.0,9,ranked_pairs,1.0,1.0,0.7380434782608696
0.0,10,lww,1.0,1.0,0.6478260869565218
0.0,10,vc,1.0,1.0,0.6644927536231884
0.0,10,crdt_pure,1.0,1.0,0.6768115942028985
0.0,10,crdt_lww,1.0,1.0,0.6478260869565218
0.0,10,leader,1.0,1.0,0.9648550724637681
0.0,10,ranked_pairs,1.0,1.0,0.7463768115942029
0.0,11,lww,1.0,1.0,0.6492753623188405
0.0,11,vc,1.0,1.0,0.6210144927536232
0.0,11,crdt_pure,1.0,1.0,0.6768115942028985
0.0,11,crdt_lww,1.0,1.0,0.6492753623188405
0.0,11,leader,1.0,1.0,0.9434782608695652
0.0,11,ranked_pairs,1.0,1.0,0.7123188405797101
0.0,12,lww,1.0,1.0,0.5768115942028986
0.0,12,vc,1.0,1.0,0.5913043478260869
0.0,12,crdt_pure,1.0,1.0,0.6934782608695652
0.0,12,crdt_lww,1.0,1.0,0.5768115942028986
0.0,12,leader,1.0,1.0,0.842391304347826
0.0,12,ranked_pairs,1.0,1.0,0.7318840579710144
0.0,13,lww,1.0,1.0,0.6003623188405798
