strategy_a,strategy_b,metric,n,W,p,significant,note,conflict,minority_frac
crdt_lww,crdt_pure,info_retention,15,4.0,0.00042724609375,True,,high,
crdt_lww,leader,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,lww,info_retention,15,0.0,1.0,False,tied,high,
crdt_lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,vc,info_retention,15,36.0,0.1876220703125,False,,high,
crdt_pure,leader,info_retention,15,0.0,0.0006533107814151376,True,,high,
crdt_pure,lww,info_retention,15,4.0,0.00042724609375,True,,high,
crdt_pure,ranked_pairs,info_retention,15,0.0,0.0006516660806139112,True,,high,
crdt_pure,vc,info_retention,15,4.0,0.00042724609375,True,,high,
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,high,
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
leader,vc,info_retention,15,0.0,6.103515625e-05,True,,high,
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,high,
lww,vc,info_retention,15,36.0,0.1876220703125,False,,high,
ranked_pairs,vc,info_retention,15,0.0,6.103515625e-05,True,,high,
crdt_lww,crdt_pure,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,leader,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,lww,info_retention,15,0.0,1.0,False,tied,low,
crdt_lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,vc,info_retention,15,8.0,0.00152587890625,True,,low,
crdt_pure,leader,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_pure,lww,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_pure,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_pure,vc,info_retention,15,36.0,0.1876220703125,False,,low,
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,low,
leader,ranked_pairs,info_retention,15,5.0,0.0006103515625,True,,low,
leader,vc,info_retention,15,0.0,0.0006533107814151376,True,,low,
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,low,
lww,vc,info_retention,15,8.0,0.00152587890625,True,,low,
ranked_pairs,vc,info_retention,15,0.0,6.103515625e-05,True,,low,
crdt_lww,crdt_pure,info_retention,15,6.5,0.0023720053544290668,True,,,
crdt_lww,leader,info_retention,15,0.0,0.0006533107814151376,True,,,
crdt_lww,lww,info_retention,15,0.0,1.0,False,tied,,
crdt_lww,ranked_pairs,info_retention,15,0.0,0.0006533107814151376,True,,,
crdt_lww,vc,info_retention,15,14.0,0.0067138671875,True,,,
crdt_pure,leader,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_pure,lww,info_retention,15,6.5,0.0023720053544290668,True,,,
crdt_pure,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,
crdt_pure,vc,info_retention,15,1.0,0.0001220703125,True,,,
leader,lww,info_retention,15,0.0,0.0006533107814151376,True,,,
leader,ranked_pairs,info_retention,15,0.0,0.0006533107814151376,True,,,
leader,vc,info_retention,15,0.0,6.103515625e-05,True,,,
lww,ranked_pairs,info_retention,15,0.0,0.0006533107814151376,True,,,
lww,vc,info_retention,15,14.0,0.0067138671875,True,,,
ranked_pairs,vc,info_retention,15,0.0,6.103515625e-05,True,,,
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.1
leader,ranked_pairs,info_retention,15,34.0,0.15142822265625,False,,,0.1
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.1
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.2
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.2
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.2
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.3
leader,ranked_pairs,info_retention,15,2.0,0.00018310546875,True,,,0.3
lww,ranked_pairs,info_retention,15,0.0,0.0006533107814151376,True,,,0.3
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.4
leader,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.4
lww,ranked_pairs,info_retention,15,0.0,6.103515625e-05,True,,,0.4
leader,lww,info_retention,15,0.0,6.103515625e-05,True,,,0.5
leader,ranked_pairs,info_retention,15,0.0,0.0006533107814151376,True,,,0.5
lww,ranked_pairs,info_retention,15,0.0,0.0006516660806139112,True,,,0.5
