conflict,trial,strategy,tau_causal,tau_contested,info_retention,repair_swaps
low,0,lww,0,1.0,0.9666666666666667,
low,0,vc,0,8.0,0.7333333333333334,
low,0,crdt_pure,0,1.0,0.9666666666666667,
low,0,crdt_lww,0,1.0,0.9666666666666667,
low,0,leader,0,1.0,0.9666666666666667,
low,0,ranked_pairs,0,0.0,1.0,
low,0,rp_unconstrained,0,0.0,1.0,20.0
low,1,lww,0,0.0,1.0,
low,1,vc,0,10.0,0.6774193548387097,
low,1,crdt_pure,0,0.0,1.0,
low,1,crdt_lww,0,0.0,1.0,
low,1,leader,0,0.0,1.0,
low,1,ranked_pairs,0,0.0,1.0,
low,1,rp_unconstrained,0,0.0,1.0,11.0
low,2,lww,0,1.0,0.9615384615384616,
low,2,vc,0,7.0,0.7307692307692308,
low,2,crdt_pure,0,1.0,0.9615384615384616,
low,2,crdt_lww,0,1.0,0.9615384615384616,
low,2,leader,0,1.0,0.9615384615384616,
low,2,ranked_pairs,0,0.0,1.0,
low,2,rp_unconstrained,0,0.0,1.0,14.0
low,3,lww,0,0.0,1.0,
low,3,vc,0,4.0,0.8918918918918919,
low,3,crdt_pure,0,0.0,1.0,
low,3,crdt_lww,0,0.0,1.0,
low,3,leader,0,0.0,1.0,
low,3,ranked_pairs,0,0.0,1.0,
low,3,rp_unconstrained,0,0.0,1.0,9.0
low,4,lww,0,0.0,1.0,
low,4,vc,0,9.0,0.7352941176470589,
low,4,crdt_pure,0,0.0,1.0,
low,4,crdt_lww,0,0.0,1.0,
low,4,leader,0,0.0,1.0,
low,4,ranked_pairs,0,0.0,1.0,
low,4,rp_unconstrained,0,0.0,1.0,18.0
low,5,lww,0,1.0,0.9666666666666667,
low,5,vc,0,4.0,0.8666666666666667,
low,5,crdt_pure,0,1.0,0.9666666666666667,
low,5,crdt_lww,0,1.0,0.9666666666666667,
low,5,leader,0,1.0,0.9666666666666667,
low,5,ranked_pairs,0,0.0,1.0,
low,5,rp_unconstrained,0,0.0,1.0,14.0
low,6,lww,0,1.0,0.9743589743589743,
low,6,vc,0,3.0,0.9230769230769231,
low,6,crdt_pure,0,1.0,0.9743589743589743,
low,6,crdt_lww,0,1.0,0.9743589743589743,
low,6,leader,0,1.0,0.9743589743589743,
low,6,ranked_pairs,0,0.0,1.0,
low,6,rp_unconstrained,0,0.0,1.0,13.0
low,7,lww,0,0.0,1.0,
low,7,vc,0,5.0,0.84375,
low,7,crdt_pure,0,0.0,1.0,
low,7,crdt_lww,0,0.0,1.0,
low,7,leader,0,0.0,1.0,
low,7,ranked_pairs,0,0.0,1.0,
low,7,rp_unconstrained,0,0.0,1.0,18.0
