trial,strategy,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms,repair_swaps
0,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.02429999949526973,
0,vc,1.0,1.0,0.575,0,17.0,1.0,0.7426470588235294,0.058200000239594374,
0,crdt_pure,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014700000065204222,
0,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014100000043981709,
0,leader,0.5,1.0,1.0,0,0.0,1.0,0.0,0.009200000022246968,
0,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.32530000044062035,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,5.0
1,lww,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.019299999621580355,
1,vc,1.0,0.75,0.5769230769230769,0,11.0,0.42857142857142855,0.6477272727272727,0.039200000173877925,
1,crdt_pure,1.0,0.75,1.0,0,0.0,0.42857142857142855,0.0,0.022700000045006163,
1,crdt_lww,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.014500000361294951,
1,leader,0.5833333333333334,1.0,1.0,0,0.0,0.5,0.0,0.00869999985297909,
1,ranked_pairs,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.3845999999612104,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.42857142857142855,0.0,0.0,5.0
2,lww,1.0,1.0,1.0,0,0.0,0.75,0.0,0.01720000000204891,
2,vc,1.0,0.9166666666666666,0.5945945945945945,0,15.0,0.75,0.6416666666666667,0.036299999919719994,
2,crdt_pure,1.0,0.9166666666666666,1.0,0,0.0,0.75,0.0,0.01739999970595818,
2,crdt_lww,1.0,1.0,1.0,0,0.0,0.75,0.0,0.01500000053056283,
2,leader,0.5833333333333334,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.008600000001024455,
2,ranked_pairs,1.0,1.0,1.0,0,0.0,0.75,0.0,0.299299999824143,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,0.75,0.0,0.0,5.0
3,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0335000004270114,
3,vc,1.0,1.0,0.6571428571428571,0,12.0,1.0,0.7291666666666666,0.033400000575056765,
3,crdt_pure,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014000000192027073,
3,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.014199999895936344,
3,leader,0.6666666666666666,1.0,1.0,0,0.0,1.0,0.0,0.0073999999585794285,
3,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.3446000000622007,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,1.0
4,lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.01869999960035784,
4,vc,1.0,0.9583333333333334,0.5666666666666667,0,13.0,1.0,0.5096153846153846,0.047500000619038474,
4,crdt_pure,1.0,0.9583333333333334,1.0,0,0.0,1.0,0.0,0.02080000012938399,
4,crdt_lww,1.0,1.0,1.0,0,0.0,1.0,0.0,0.01849999989644857,
4,leader,0.625,1.0,1.0,0,0.0,1.0,0.0,0.009699999282020144,
4,ranked_pairs,1.0,1.0,1.0,0,0.0,1.0,0.0,0.31350000062957406,
0,rp_unconstrained,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,5.0
5,lww,1.0,1.0,1.0,0,0.0,0.6666666666666666,0.0,0.021300000298651867,
5,vc,1.0,0.8333333333333334,0.7428571428571429,0,9.0,0.6666666666666666,0.7083333333333334,0.03839999953925144,
