M,trial,tau_total_ms,rp_ms,merge_thr_ops_s
5,0,0.014500000361294951,0.04549999994196696,109890.11003026938
5,1,0.006400000529538374,0.02479999966453761,201612.90595296564
5,2,0.00199999976757681,0.0197000008483883,253807.09566868172
5,3,0.005300000339047983,0.021100000594742596,236966.81796520093
5,4,0.006499999471998308,0.021699999706470408,230414.74966053216
5,5,0.00199999976757681,0.01720000000204891,290697.674383976
5,6,0.004600000465870835,0.019400000383029692,257731.95367427883
5,7,0.002100000529026147,0.01869999960035784,267379.68485862
5,8,0.004399999852466863,0.019300000531075057,259067.35038423794
5,9,0.010099999599333387,0.03470000046945643,144092.21707074877
5,10,0.005100000635138713,0.022199999875738285,225225.22648589517
5,11,0.004200000148557592,0.01939999947353499,257731.96575705474
20,0,0.0228000008064555,0.20390000008774223,98087.2976527396
20,1,0.02119999953720253,0.22930000068299705,87221.97967914367
20,2,0.022500000341096893,0.24140000004990725,82850.04140789222
20,3,0.021300000298651867,0.2122999994753627,94206.31205569545
20,4,0.017500000467407517,0.2230000000054133,89686.0986525314
20,5,0.024599999960628338,0.21830000059708254,91617.04051899709
20,6,0.020399999812070746,0.1863999996203347,107296.1375575999
20,7,0.021600000764010474,0.20640000002458692,96899.22479465866
20,8,0.042499999835854396,0.20479999966482865,97656.25015982216
20,9,0.02010000025620684,0.23300000066228677,85836.90962725903
20,10,0.02190000031987438,0.2341999997952371,85397.0965733824
20,11,0.021799999558425043,0.22989999979472486,86994.34544522739
50,0,0.048099999730766285,1.419299999724899,35228.63384040825
50,1,0.046999999540275894,1.47220000053494,33962.776784290145
50,2,0.05449999935080996,1.3814000003549154,36195.16431674662
50,3,0.059899999541812576,1.683499999671767,29700.029705820332
50,4,0.05379999947763281,1.4724000002388493,33958.163537007
50,5,0.05869999949936755,1.5272999999069725,32737.510641684992
50,6,0.05650000002788147,1.7252000006919843,28982.14698582472
50,7,0.07860000005166512,1.6187999999601743,30887.07684780708
50,8,0.053699999625678174,1.6804000006231945,29754.820269850607
50,9,0.05250000049272785,1.4991999996709637,33351.1206049718
50,10,0.04999999964638846,1.5389999998660642,32488.628982684466
50,11,0.04760000047099311,1.4299999993454549,34965.034981039295
100,0,0.42219999977533007,32.933600000433216,3036.4126605862884
100,1,0.4112999995413702,42.52379999979894,2351.6242668922537
100,2,0.3759000001082313,30.44999999929132,3284.0722496659228
100,3,0.3989000006185961,35.37880000021687,2826.5514940977932
100,4,0.39879999985714676,38.45820000060485,2600.2256995498296
100,5,0.37259999953676015,30.321700000058627,3297.968121833758
100,6,0.10740000016085105,8.464099999400787,11814.605215803153
100,7,0.10259999999107094,18.971999999848776,5270.9255745729015
100,8,0.09580000005371403,7.502500000555301,13328.890368890165
100,9,0.10540000039327424,8.559500000046683,11682.925404457574
100,10,0.10069999916595407,7.776799999192008,12858.759388230348
100,11,0.10110000039276201,8.422699999755423,11872.677407826919
