minority_frac,trial,strategy,ops_retained,info_retention
0.1,0,leader,0.9583333333333334,0.9459459459459459
0.1,0,lww,1.0,0.9459459459459459
0.1,0,ranked_pairs,1.0,1.0
0.1,1,leader,0.875,0.9714285714285714
0.1,1,lww,1.0,0.9428571428571428
0.1,1,ranked_pairs,1.0,1.0
0.1,2,leader,0.875,0.9714285714285714
0.1,2,lww,1.0,0.9428571428571428
0.1,2,ranked_pairs,1.0,1.0
0.1,3,leader,0.75,0.9736842105263158
0.1,3,lww,1.0,0.9736842105263158
0.1,3,ranked_pairs,1.0,1.0
0.1,4,leader,0.875,0.9523809523809523
0.1,4,lww,1.0,0.9523809523809523
0.1,4,ranked_pairs,1.0,1.0
0.1,5,leader,0.9166666666666666,1.0
0.1,5,lww,1.0,1.0
0.1,5,ranked_pairs,1.0,1.0
0.1,6,leader,0.8333333333333334,1.0
0.1,6,lww,1.0,1.0
0.1,6,ranked_pairs,1.0,1.0
0.1,7,leader,0.9166666666666666,0.96875
0.1,7,lww,1.0,0.96875
0.1,7,ranked_pairs,1.0,1.0
0.1,8,leader,0.875,1.0
0.1,8,lww,1.0,1.0
0.1,8,ranked_pairs,1.0,1.0
0.1,9,leader,0.8333333333333334,0.9666666666666667
0.1,9,lww,1.0,0.9666666666666667
0.1,9,ranked_pairs,1.0,1.0
0.1,10,leader,0.8333333333333334,0.9642857142857143
0.1,10,lww,1.0,0.9642857142857143
0.1,10,ranked_pairs,1.0,1.0
0.1,11,leader,0.9583333333333334,1.0
0.1,11,lww,1.0,1.0
0.1,11,ranked_pairs,1.0,1.0
0.1,12,leader,0.9166666666666666,1.0
0.1,12,lww,1.0,1.0
0.1,12,ranked_pairs,1.0,1.0
0.1,13,leader,0.875,1.0
0.1,13,lww,1.0,0.9696969696969697
0.1,13,ranked_pairs,1.0,1.0
0.1,14,leader,0.9166666666666666,1.0
0.1,14,lww,1.0,1.0
0.1,14,ranked_pairs,1.0,1.0
0.2,0,leader,0.7083333333333334,1.0
0.2,0,lww,1.0,1.0
0.2,0,ranked_pairs,1.0,1.0
0.2,1,leader,0.5,1.0
0.2,1,lww,1.0,1.0
0.2,1,ranked_pairs,1.0,1.0
0.2,2,leader,0.6666666666666666,1.0
0.2,2,lww,1.0,0.9722222222222222
0.2,2,ranked_pairs,1.0,1.0
0.2,3,leader,0.75,1.0
0.2,3,lww,1.0,0.972972972972973
0.2,3,ranked_pairs,1.0,1.0
0.2,4,leader,0.875,1.0
0.2,4,lww,1.0,1.0
0.2,4,ranked_pairs,1.0,1.0
0.2,5,leader,0.8333333333333334,1.0
0.2,5,lww,1.0,0.9655172413793104
0.2,5,ranked_pairs,1.0,1.0
0.2,6,leader,0.6666666666666666,0.96875
0.2,6,lww,1.0,0.9375
0.2,6,ranked_pairs,1.0,1.0
0.2,7,leader,0.7083333333333334,1.0
0.2,7,lww,1.0,1.0
0.2,7,ranked_pairs,1.0,1.0
0.2,8,leader,0.6666666666666666,1.0
0.2,8,lww,1.0,0.972972972972973
0.2,8,ranked_pairs,1.0,1.0
0.2,9,leader,0.8333333333333334,1.0
0.2,9,lww,1.0,1.0
0.2,9,ranked_pairs,1.0,1.0
0.2,10,leader,0.625,0.96875
0.2,10,lww,1.0,0.96875
0.2,10,ranked_pairs,1.0,1.0
0.2,11,leader,0.5416666666666666,1.0
0.2,11,lww,1.0,1.0
0.2,11,ranked_pairs,1.0,1.0
0.2,12,leader,0.75,1.0
0.2,12,lww,1.0,1.0
0.2,12,ranked_pairs,1.0,1.0
0.2,13,leader,0.625,1.0
0.2,13,lww,1.0,0.9459459459459459
0.2,13,ranked_pairs,1.0,1.0
0.2,14,leader,0.875,0.9555555555555556
0.2,14,lww,1.0,0.9555555555555556
0.2,14,ranked_pairs,1.0,1.0
0.3,0,leader,0.8333333333333334,0.967741935483871
0.3,0,lww,1.0,0.967741935483871
0.3,0,ranked_pairs,1.0,1.0
0.3,1,leader,0.6666666666666666,1.0
0.3,1,lww,1.0,0.975
0.3,1,ranked_pairs,1.0,1.0
0.3,2,leader,0.625,0.9714285714285714
0.3,2,lww,1.0,0.9428571428571428
0.3,2,ranked_pairs,1.0,1.0
0.3,3,leader,0.8333333333333334,1.0
0.3,3,lww,1.0,1.0
0.3,3,ranked_pairs,1.0,1.0
0.3,4,leader,0.7916666666666666,1.0
0.3,4,lww,1.0,1.0
0.3,4,ranked_pairs,1.0,1.0
0.3,5,leader,0.8333333333333334,0.96875
0.3,5,lww,1.0,0.96875
0.3,5,ranked_pairs,1.0,1.0
0.3,6,leader,0.7916666666666666,1.0
0.3,6,lww,1.0,1.0
0.3,6,ranked_pairs,1.0,1.0
0.3,7,leader,0.9166666666666666,0.9736842105263158
0.3,7,lww,1.0,0.9473684210526316
0.3,7,ranked_pairs,1.0,1.0
0.3,8,leader,0.8333333333333334,0.9666666666666667
0.3,8,lww,1.0,0.9666666666666667
0.3,8,ranked_pairs,1.0,1.0
0.3,9,leader,0.7083333333333334,1.0
0.3,9,lww,1.0,1.0
0.3,9,ranked_pairs,1.0,1.0
0.3,10,leader,0.7083333333333334,1.0
0.3,10,lww,1.0,0.9736842105263158
0.3,10,ranked_pairs,1.0,1.0
0.3,11,leader,0.6666666666666666,0.9705882352941176
0.3,11,lww,1.0,0.9705882352941176
0.3,11,ranked_pairs,1.0,1.0
0.3,12,leader,0.5833333333333334,1.0
0.3,12,lww,1.0,0.9761904761904762
0.3,12,ranked_pairs,1.0,1.0
0.3,13,leader,0.7083333333333334,1.0
0.3,13,lww,1.0,1.0
0.3,13,ranked_pairs,1.0,1.0
0.3,14,leader,0.875,0.9666666666666667
0.3,14,lww,1.0,0.9666666666666667
0.3,14,ranked_pairs,1.0,1.0
0.4,0,leader,0.5,1.0
0.4,0,lww,1.0,1.0
0.4,0,ranked_pairs,1.0,1.0
0.4,1,leader,0.5416666666666666,1.0
0.4,1,lww,1.0,1.0
0.4,1,ranked_pairs,1.0,1.0
0.4,2,leader,0.625,1.0
0.4,2,lww,1.0,0.9714285714285714
0.4,2,ranked_pairs,1.0,1.0
0.4,3,leader,0.75,1.0
0.4,3,lww,1.0,1.0
0.4,3,ranked_pairs,1.0,1.0
0.4,4,leader,0.7916666666666666,1.0
0.4,4,lww,1.0,1.0
0.4,4,ranked_pairs,1.0,1.0
0.4,5,leader,0.625,0.9714285714285714
0.4,5,lww,1.0,0.9428571428571428
0.4,5,ranked_pairs,1.0,1.0
0.4,6,leader,0.6666666666666666,1.0
0.4,6,lww,1.0,1.0
0.4,6,ranked_pairs,1.0,1.0
0.4,7,leader,0.5833333333333334,1.0
0.4,7,lww,1.0,1.0
0.4,7,ranked_pairs,1.0,1.0
0.4,8,leader,0.7083333333333334,0.9428571428571428
0.4,8,lww,1.0,0.9428571428571428
0.4,8,ranked_pairs,1.0,1.0
0.4,9,leader,0.625,0.9705882352941176
0.4,9,lww,1.0,0.9705882352941176
0.4,9,ranked_pairs,1.0,1.0
0.4,10,leader,0.5833333333333334,1.0
0.4,10,lww,1.0,1.0
0.4,10,ranked_pairs,1.0,1.0
0.4,11,leader,0.625,1.0
0.4,11,lww,1.0,0.9722222222222222
0.4,11,ranked_pairs,1.0,1.0
0.4,12,leader,0.5833333333333334,1.0
0.4,12,lww,1.0,0.9705882352941176
0.4,12,ranked_pairs,1.0,1.0
0.4,13,leader,0.7083333333333334,1.0
0.4,13,lww,1.0,1.0
0.4,13,ranked_pairs,1.0,1.0
0.4,14,leader,0.5833333333333334,1.0
0.4,14,lww,1.0,1.0
0.4,14,ranked_pairs,1.0,1.0
0.5,0,leader,0.5,1.0
0.5,0,lww,1.0,1.0
0.5,0,ranked_pairs,1.0,1.0
0.5,1,leader,0.4166666666666667,1.0
0.5,1,lww,1.0,1.0
0.5,1,ranked_pairs,1.0,1.0
0.5,2,leader,0.4166666666666667,1.0
0.5,2,lww,1.0,1.0
0.5,2,ranked_pairs,1.0,1.0
0.5,3,leader,0.5416666666666666,1.0
0.5,3,lww,1.0,1.0
0.5,3,ranked_pairs,1.0,1.0
0.5,4,leader,0.4166666666666667,1.0
0.5,4,lww,1.0,1.0
0.5,4,ranked_pairs,1.0,1.0
0.5,5,leader,0.5416666666666666,0.9714285714285714
0.5,5,lww,1.0,0.9714285714285714
0.5,5,ranked_pairs,1.0,1.0
0.5,6,leader,0.5,1.0
0.5,6,lww,1.0,0.9705882352941176
0.5,6,ranked_pairs,1.0,1.0
0.5,7,leader,0.4583333333333333,1.0
0.5,7,lww,1.0,1.0
0.5,7,ranked_pairs,1.0,1.0
0.5,8,leader,0.625,1.0
0.5,8,lww,1.0,1.0
0.5,8,ranked_pairs,1.0,1.0
0.5,9,leader,0.5416666666666666,1.0
0.5,9,lww,1.0,1.0
0.5,9,ranked_pairs,1.0,1.0
0.5,10,leader,0.5416666666666666,1.0
0.5,10,lww,1.0,1.0
0.5,10,ranked_pairs,1.0,1.0
0.5,11,leader,0.5,0.9615384615384616
0.5,11,lww,1.0,0.9615384615384616
0.5,11,ranked_pairs,1.0,1.0
0.5,12,leader,0.5416666666666666,1.0
0.5,12,lww,1.0,0.96875
0.5,12,ranked_pairs,1.0,1.0
0.5,13,leader,0.625,0.9696969696969697
0.5,13,lww,1.0,0.9696969696969697
0.5,13,ranked_pairs,1.0,1.0
0.5,14,leader,0.375,1.0
0.5,14,lww,1.0,1.0
0.5,14,ranked_pairs,1.0,1.0
