strategy,metric,n,mean,std,ci95_low,ci95_high,conflict,minority_frac
crdt_lww,tau_causal,30,0.0,0.0,,,high,
crdt_lww,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
crdt_lww,info_retention,30,0.9839245615992928,0.024429428340796762,0.974802463139347,0.9930466600592385,high,
crdt_pure,tau_causal,30,0.0,0.0,,,high,
crdt_pure,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
crdt_pure,info_retention,30,0.9839245615992928,0.024429428340796762,0.974802463139347,0.9930466600592385,high,
leader,tau_causal,30,0.0,0.0,,,high,
leader,tau_contested,30,0.23333333333333334,0.5683207771559354,0.02111886749617442,0.44554779917049225,high,
leader,info_retention,30,0.9925909569323549,0.01766369205853423,0.9859952259198929,0.9991866879448169,high,
lww,tau_causal,30,0.0,0.0,,,high,
lww,tau_contested,30,0.5,0.7310832774866962,0.22700901770524268,0.7729909822947574,high,
lww,info_retention,30,0.9839245615992928,0.024429428340796762,0.974802463139347,0.9930466600592385,high,
ranked_pairs,tau_causal,30,0.0,0.0,,,high,
ranked_pairs,tau_contested,30,0.0,0.0,,,high,
ranked_pairs,info_retention,30,1.0,0.0,,,high,
rp_unconstrained,tau_causal,30,0.0,0.0,,,high,
rp_unconstrained,tau_contested,30,0.0,0.0,,,high,
rp_unconstrained,info_retention,30,1.0,0.0,,,high,
vc,tau_causal,30,0.0,0.0,,,high,
vc,tau_contested,30,10.333333333333334,5.02636725837776,8.456456953455092,12.210209713211576,high,
vc,info_retention,30,0.6905156662137817,0.138925402519438,0.6386400683614343,0.7423912640661291,high,
crdt_lww,tau_causal,30,0.0,0.0,,,low,
crdt_lww,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
crdt_lww,info_retention,30,0.984358693874823,0.026749301608668553,0.9743703405001528,0.9943470472494932,low,
crdt_pure,tau_causal,30,0.0,0.0,,,low,
crdt_pure,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
crdt_pure,info_retention,30,0.984358693874823,0.026749301608668553,0.9743703405001528,0.9943470472494932,low,
leader,tau_causal,30,0.0,0.0,,,low,
leader,tau_contested,30,0.43333333333333335,0.7738543627276671,0.14437136533379374,0.722295301332873,low,
leader,info_retention,30,0.9862370007531299,0.025721689291905363,0.9766323641237473,0.9958416373825125,low,
lww,tau_causal,30,0.0,0.0,,,low,
lww,tau_contested,30,0.5,0.8200084103858011,0.19380382736868734,0.8061961726313127,low,
lww,info_retention,30,0.984358693874823,0.026749301608668553,0.9743703405001528,0.9943470472494932,low,
ranked_pairs,tau_causal,30,0.0,0.0,,,low,
ranked_pairs,tau_contested,30,0.0,0.0,,,low,
ranked_pairs,info_retention,30,1.0,0.0,,,low,
rp_unconstrained,tau_causal,30,0.0,0.0,,,low,
rp_unconstrained,tau_contested,30,0.0,0.0,,,low,
rp_unconstrained,info_retention,30,1.0,0.0,,,low,
vc,tau_causal,30,0.0,0.0,,,low,
vc,tau_contested,30,6.2,3.0103270529158856,5.075925404792283,7.324074595207717,low,
vc,info_retention,30,0.8106674540642695,0.09727908624781498,0.7743428462811149,0.8469920618474241,low,
crdt_lww,ops_retained,30,1.0,0.0,,,,
crdt_lww,auto_coverage,30,1.0,0.0,,,,
crdt_lww,info_retention,30,0.9896527694843634,0.017316893577143527,0.9831865351530711,0.9961190038156558,,
crdt_lww,tau_causal,30,0.0,0.0,,,,
crdt_lww,tau_contested,30,0.3333333333333333,0.5466722735905339,0.1292025515791249,0.5374641150875417,,
crdt_lww,semantic_validity,30,0.822063492063492,0.18723842319958403,0.7521475158038572,0.8919794683231269,,
crdt_lww,gini,30,0.25833333333333336,0.4019528479237621,0.10824167323120526,0.40842499343546146,,
crdt_lww,time_ms,30,0.015506666689664902,0.003635735780561021,0.014149060637572416,0.016864272741757388,,
crdt_pure,ops_retained,30,1.0,0.0,,,,
crdt_pure,auto_coverage,30,0.9083333333333332,0.07612502319926162,0.8799077825098762,0.9367588841567902,,
crdt_pure,info_retention,30,0.9896527694843634,0.017316893577143527,0.9831865351530711,0.9961190038156558,,
crdt_pure,tau_causal,30,0.0,0.0,,,,
crdt_pure,tau_contested,30,0.3333333333333333,0.5466722735905339,0.1292025515791249,0.5374641150875417,,
crdt_pure,semantic_validity,30,0.822063492063492,0.18723842319958403,0.7521475158038572,0.8919794683231269,,
crdt_pure,gini,30,0.25833333333333336,0.4019528479237621,0.10824167323120526,0.40842499343546146,,
crdt_pure,time_ms,30,0.0248266666252069,0.03168323740972259,0.012995951344052676,0.03665738190636113,,
leader,ops_retained,30,0.6069444444444444,0.06717062869198201,0.5818625194809586,0.6320263694079302,,
leader,auto_coverage,30,1.0,0.0,,,,
leader,info_retention,30,0.9948509046824987,0.01171741674091188,0.9904755493644901,0.9992262600005073,,
leader,tau_causal,30,0.0,0.0,,,,
leader,tau_contested,30,0.16666666666666666,0.3790490217894517,0.0251274357983306,0.3082058975350027,,
leader,semantic_validity,30,0.883888888888889,0.16686673815175046,0.8215798248422184,0.9461979529355595,,
leader,gini,30,0.14583333333333334,0.33166789406577024,0.021986506323539295,0.26968016034312736,,
