strategy_a,strategy_b,metric,n,W,p,significant,note,conflict,minority_frac
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,leader,info_retention,30,0.0,0.01755232593841686,True,,high,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,ranked_pairs,info_retention,30,0.0,0.003268029866075025,True,,high,
crdt_lww,rp_unconstrained,info_retention,30,0.0,0.003268029866075025,True,,high,
crdt_lww,vc,info_retention,30,0.0,1.732216233144114e-06,True,,high,
crdt_pure,leader,info_retention,30,0.0,0.01755232593841686,True,,high,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,high,
crdt_pure,ranked_pairs,info_retention,30,0.0,0.003268029866075025,True,,high,
crdt_pure,rp_unconstrained,info_retention,30,0.0,0.003268029866075025,True,,high,
crdt_pure,vc,info_retention,30,0.0,1.732216233144114e-06,True,,high,
leader,lww,info_retention,30,0.0,0.01755232593841686,True,,high,
leader,ranked_pairs,info_retention,30,0.0,0.043114446783075355,True,,high,
leader,rp_unconstrained,info_retention,30,0.0,0.043114446783075355,True,,high,
leader,vc,info_retention,30,0.0,1.7311263949197288e-06,True,,high,
lww,ranked_pairs,info_retention,30,0.0,0.003268029866075025,True,,high,
lww,rp_unconstrained,info_retention,30,0.0,0.003268029866075025,True,,high,
lww,vc,info_retention,30,0.0,1.732216233144114e-06,True,,high,
ranked_pairs,rp_unconstrained,info_retention,30,0.0,1.0,False,tied,high,
ranked_pairs,vc,info_retention,30,0.0,1.7311263949197288e-06,True,,high,
rp_unconstrained,vc,info_retention,30,0.0,1.7311263949197288e-06,True,,high,
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,leader,info_retention,30,0.0,0.17971249487899976,False,,low,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,ranked_pairs,info_retention,30,0.0,0.005033508200606249,True,,low,
crdt_lww,rp_unconstrained,info_retention,30,0.0,0.005033508200606249,True,,low,
crdt_lww,vc,info_retention,30,0.0,2.554465375675972e-06,True,,low,
crdt_pure,leader,info_retention,30,0.0,0.17971249487899976,False,,low,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,low,
crdt_pure,ranked_pairs,info_retention,30,0.0,0.005033508200606249,True,,low,
crdt_pure,rp_unconstrained,info_retention,30,0.0,0.005033508200606249,True,,low,
crdt_pure,vc,info_retention,30,0.0,2.554465375675972e-06,True,,low,
leader,lww,info_retention,30,0.0,0.17971249487899976,False,,low,
leader,ranked_pairs,info_retention,30,0.0,0.007632441648205508,True,,low,
leader,rp_unconstrained,info_retention,30,0.0,0.007632441648205508,True,,low,
leader,vc,info_retention,30,0.0,2.554465375675972e-06,True,,low,
lww,ranked_pairs,info_retention,30,0.0,0.005033508200606249,True,,low,
lww,rp_unconstrained,info_retention,30,0.0,0.005033508200606249,True,,low,
lww,vc,info_retention,30,0.0,2.554465375675972e-06,True,,low,
ranked_pairs,rp_unconstrained,info_retention,30,0.0,1.0,False,tied,low,
ranked_pairs,vc,info_retention,30,0.0,2.5527446889909943e-06,True,,low,
rp_unconstrained,vc,info_retention,30,0.0,2.5527446889909943e-06,True,,low,
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,leader,info_retention,30,0.0,0.06788915486182899,False,,,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,ranked_pairs,info_retention,30,0.0,0.0075792819433897285,True,,,
crdt_lww,rp_unconstrained,info_retention,1,,,False,insufficient,,
crdt_lww,vc,info_retention,30,0.0,1.726772765612998e-06,True,,,
crdt_pure,leader,info_retention,30,0.0,0.06788915486182899,False,,,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,,
crdt_pure,ranked_pairs,info_retention,30,0.0,0.0075792819433897285,True,,,
crdt_pure,rp_unconstrained,info_retention,1,,,False,insufficient,,
crdt_pure,vc,info_retention,30,0.0,1.726772765612998e-06,True,,,
leader,lww,info_retention,30,0.0,0.06788915486182899,False,,,
leader,ranked_pairs,info_retention,30,0.0,0.04216819709715596,True,,,
leader,rp_unconstrained,info_retention,1,,,False,insufficient,,
leader,vc,info_retention,30,0.0,1.726772765612998e-06,True,,,
lww,ranked_pairs,info_retention,30,0.0,0.0075792819433897285,True,,,
lww,rp_unconstrained,info_retention,1,,,False,insufficient,,
lww,vc,info_retention,30,0.0,1.726772765612998e-06,True,,,
ranked_pairs,rp_unconstrained,info_retention,1,,,False,insufficient,,
ranked_pairs,vc,info_retention,30,0.0,1.7278603148724103e-06,True,,,
rp_unconstrained,vc,info_retention,1,,,False,insufficient,,
leader,lww,info_retention,15,0.0,0.10247043485974937,False,,,0.1
leader,ranked_pairs,info_retention,15,0.0,0.011616044899262472,True,,,0.1
lww,ranked_pairs,info_retention,15,0.0,0.007632441648205508,True,,,0.1
leader,lww,info_retention,15,0.0,0.027281171477617997,True,,,0.2
leader,ranked_pairs,info_retention,15,0.0,0.10247043485974937,False,,,0.2
lww,ranked_pairs,info_retention,15,0.0,0.011616044899262472,True,,,0.2
leader,lww,info_retention,15,0.0,0.04216819709715596,True,,,0.3
leader,ranked_pairs,info_retention,15,0.0,0.01775592261403605,True,,,0.3
lww,ranked_pairs,info_retention,15,0.0,0.005033508200606249,True,,,0.3
leader,lww,info_retention,15,0.0,0.06559969214707187,False,,,0.4
leader,ranked_pairs,info_retention,15,0.0,0.10880943004054568,False,,,0.4
lww,ranked_pairs,info_retention,15,0.0,0.026856695507524397,True,,,0.4
leader,lww,info_retention,15,0.0,0.17971249487899976,False,,,0.5
leader,ranked_pairs,info_retention,15,0.0,0.10880943004054568,False,,,0.5
lww,ranked_pairs,info_retention,15,0.0,0.043114446783075355,True,,,0.5
