conflict,trial,strategy,M,causal_density,tau_causal,tau_contested,tauhat,info_retention
low,0,lww,24,0.33695652173913043,0,108,0.04891304347826087,0.9510869565217391
low,0,vc,24,0.33695652173913043,0,522,0.23641304347826086,0.7635869565217391
low,0,crdt_pure,24,0.33695652173913043,0,108,0.04891304347826087,0.9510869565217391
low,0,crdt_lww,24,0.33695652173913043,0,108,0.04891304347826087,0.9510869565217391
low,0,leader,24,0.33695652173913043,0,65,0.029438405797101448,0.9705615942028986
low,0,ranked_pairs,24,0.33695652173913043,0,108,0.04891304347826087,0.9510869565217391
low,1,lww,24,0.32608695652173914,0,109,0.049365942028985504,0.9506340579710145
low,1,vc,24,0.32608695652173914,0,413,0.18704710144927536,0.8129528985507246
low,1,crdt_pure,24,0.32608695652173914,0,109,0.049365942028985504,0.9506340579710145
low,1,crdt_lww,24,0.32608695652173914,0,109,0.049365942028985504,0.9506340579710145
low,1,leader,24,0.32608695652173914,0,102,0.04619565217391304,0.9538043478260869
low,1,ranked_pairs,24,0.32608695652173914,0,109,0.049365942028985504,0.9506340579710145
low,2,lww,24,0.36594202898550726,0,99,0.04483695652173913,0.9551630434782609
low,2,vc,24,0.36594202898550726,0,415,0.18795289855072464,0.8120471014492754
low,2,crdt_pure,24,0.36594202898550726,0,99,0.04483695652173913,0.9551630434782609
low,2,crdt_lww,24,0.36594202898550726,0,99,0.04483695652173913,0.9551630434782609
low,2,leader,24,0.36594202898550726,0,164,0.07427536231884058,0.9257246376811594
low,2,ranked_pairs,24,0.36594202898550726,0,99,0.04483695652173913,0.9551630434782609
low,3,lww,24,0.322463768115942,0,87,0.03940217391304348,0.9605978260869565
low,3,vc,24,0.322463768115942,0,749,0.3392210144927536,0.6607789855072463
low,3,crdt_pure,24,0.322463768115942,0,87,0.03940217391304348,0.9605978260869565
low,3,crdt_lww,24,0.322463768115942,0,87,0.03940217391304348,0.9605978260869565
low,3,leader,24,0.322463768115942,0,58,0.026268115942028984,0.9737318840579711
low,3,ranked_pairs,24,0.322463768115942,0,87,0.03940217391304348,0.9605978260869565
low,4,lww,24,0.358695652173913,0,97,0.043931159420289856,0.9560688405797102
low,4,vc,24,0.358695652173913,0,605,0.2740036231884058,0.7259963768115942
low,4,crdt_pure,24,0.358695652173913,0,97,0.043931159420289856,0.9560688405797102
low,4,crdt_lww,24,0.358695652173913,0,97,0.043931159420289856,0.9560688405797102
low,4,leader,24,0.358695652173913,0,116,0.05253623188405797,0.947463768115942
low,4,ranked_pairs,24,0.358695652173913,0,97,0.043931159420289856,0.9560688405797102
low,5,lww,24,0.37318840579710144,0,86,0.03894927536231884,0.9610507246376812
low,5,vc,24,0.37318840579710144,0,484,0.21920289855072464,0.7807971014492754
low,5,crdt_pure,24,0.37318840579710144,0,86,0.03894927536231884,0.9610507246376812
low,5,crdt_lww,24,0.37318840579710144,0,86,0.03894927536231884,0.9610507246376812
low,5,leader,24,0.37318840579710144,0,99,0.04483695652173913,0.9551630434782609
low,5,ranked_pairs,24,0.37318840579710144,0,86,0.03894927536231884,0.9610507246376812
low,6,lww,24,0.34782608695652173,0,83,0.03759057971014493,0.9624094202898551
low,6,vc,24,0.34782608695652173,0,393,0.17798913043478262,0.8220108695652174
low,6,crdt_pure,24,0.34782608695652173,0,83,0.03759057971014493,0.9624094202898551
low,6,crdt_lww,24,0.34782608695652173,0,83,0.03759057971014493,0.9624094202898551
low,6,leader,24,0.34782608695652173,0,105,0.04755434782608696,0.9524456521739131
low,6,ranked_pairs,24,0.34782608695652173,0,83,0.03759057971014493,0.9624094202898551
low,7,lww,24,0.322463768115942,0,100,0.04528985507246377,0.9547101449275363
low,7,vc,24,0.322463768115942,0,468,0.21195652173913043,0.7880434782608696
low,7,crdt_pure,24,0.322463768115942,0,100,0.04528985507246377,0.9547101449275363
low,7,crdt_lww,24,0.322463768115942,0,100,0.04528985507246377,0.9547101449275363
low,7,leader,24,0.322463768115942,0,64,0.028985507246376812,0.9710144927536232
low,7,ranked_pairs,24,0.322463768115942,0,100,0.04528985507246377,0.9547101449275363
low,8,lww,24,0.35507246376811596,0,80,0.036231884057971016,0.9637681159420289
low,8,vc,24,0.35507246376811596,0,356,0.161231884057971,0.838768115942029
low,8,crdt_pure,24,0.35507246376811596,0,80,0.036231884057971016,0.9637681159420289
low,8,crdt_lww,24,0.35507246376811596,0,80,0.036231884057971016,0.9637681159420289
low,8,leader,24,0.35507246376811596,0,128,0.057971014492753624,0.9420289855072463
low,8,ranked_pairs,24,0.35507246376811596,0,80,0.036231884057971016,0.9637681159420289
low,9,lww,24,0.36594202898550726,0,94,0.042572463768115944,0.957427536231884
low,9,vc,24,0.36594202898550726,0,510,0.23097826086956522,0.7690217391304348
low,9,crdt_pure,24,0.36594202898550726,0,94,0.042572463768115944,0.957427536231884
low,9,crdt_lww,24,0.36594202898550726,0,94,0.042572463768115944,0.957427536231884
low,9,leader,24,0.36594202898550726,0,96,0.043478260869565216,0.9565217391304348
low,9,ranked_pairs,24,0.36594202898550726,0,94,0.042572463768115944,0.957427536231884
low,10,lww,24,0.32608695652173914,0,96,0.043478260869565216,0.9565217391304348
