trial,strategy,M,ops_retained,auto_coverage,info_retention,tau_causal,tau_contested,semantic_validity,gini,time_ms
0,lww,24,1.0,1.0,0.917572463768116,0,182,1.0,0.4107142857142857,0.07720000212430023
0,vc,24,1.0,1.0,0.6195652173913043,0,840,1.0,0.05327380952380952,0.17549999756738544
0,crdt_pure,24,1.0,1.0,0.917572463768116,0,182,1.0,0.4107142857142857,0.061499998992076144
0,crdt_lww,24,1.0,1.0,0.917572463768116,0,182,1.0,0.4107142857142857,0.059300000430084765
0,leader,24,0.5,1.0,0.9796195652173914,0,45,1.0,0.5916666666666667,0.03550000110408291
0,ranked_pairs,24,1.0,1.0,0.917572463768116,0,182,1.0,0.4107142857142857,3.651800001534866
1,lww,24,1.0,1.0,0.9207427536231884,0,175,0.5714285714285714,0.28785714285714287,0.052600000344682485
1,vc,24,1.0,0.75,0.5883152173913043,0,909,0.5714285714285714,0.0842959295929593,0.1559999982418958
1,crdt_pure,24,1.0,0.75,0.9207427536231884,0,175,0.5714285714285714,0.28785714285714287,0.22840000019641593
1,crdt_lww,24,1.0,1.0,0.9207427536231884,0,175,0.5714285714285714,0.28785714285714287,0.10789999942062423
1,leader,24,0.5833333333333334,1.0,0.9660326086956522,0,75,0.6666666666666666,0.48833333333333334,0.04480000279727392
1,ranked_pairs,24,1.0,1.0,0.9207427536231884,0,175,0.5714285714285714,0.28785714285714287,3.777099998842459
2,lww,24,1.0,1.0,0.9189311594202898,0,179,1.0,0.4168994413407821,0.07499999992433004
2,vc,24,1.0,0.9166666666666666,0.5946557971014492,0,895,1.0,0.0356145251396648,0.17289999959757552
2,crdt_pure,24,1.0,0.9166666666666666,0.9189311594202898,0,179,1.0,0.4168994413407821,0.08470000102533959
2,crdt_lww,24,1.0,1.0,0.9189311594202898,0,179,1.0,0.4168994413407821,0.06710000161547214
2,leader,24,0.5833333333333334,1.0,0.9497282608695652,0,111,1.0,0.34121621621621623,0.12249999781488441
2,ranked_pairs,24,1.0,1.0,0.9189311594202898,0,179,1.0,0.4168994413407821,3.946900000300957
3,lww,24,1.0,1.0,0.9125905797101449,0,193,1.0,0.48639896373056996,0.06800000119255856
3,vc,24,1.0,1.0,0.6870471014492754,0,691,1.0,0.0591534008683068,0.15070000154082663
3,crdt_pure,24,1.0,1.0,0.9125905797101449,0,193,1.0,0.48639896373056996,0.04830000034417026
3,crdt_lww,24,1.0,1.0,0.9125905797101449,0,193,1.0,0.48639896373056996,0.04999999873689376
3,leader,24,0.6666666666666666,1.0,0.9103260869565217,0,198,1.0,0.27146464646464646,0.03369999831193127
3,ranked_pairs,24,1.0,1.0,0.9125905797101449,0,193,1.0,0.48639896373056996,3.579899999749614
4,lww,24,1.0,1.0,0.9121376811594203,0,194,1.0,0.3440721649484536,0.04999999873689376
4,vc,24,1.0,0.9583333333333334,0.6567028985507246,0,758,1.0,0.061015831134564644,0.15600000187987462
4,crdt_pure,24,1.0,0.9583333333333334,0.9121376811594203,0,194,1.0,0.3440721649484536,0.06880000000819564
4,crdt_lww,24,1.0,1.0,0.9121376811594203,0,194,1.0,0.3440721649484536,0.05070000042906031
4,leader,24,0.625,1.0,0.9311594202898551,0,152,1.0,0.3223684210526316,0.0335000004270114
4,ranked_pairs,24,1.0,1.0,0.9121376811594203,0,194,1.0,0.3440721649484536,3.4090999979525805
5,lww,24,1.0,1.0,0.9094202898550725,0,200,0.6666666666666666,0.3825,0.05529999907594174
5,vc,24,1.0,0.8333333333333334,0.6639492753623188,0,742,0.6666666666666666,0.102088948787062,0.1632999992580153
5,crdt_pure,24,1.0,0.8333333333333334,0.9094202898550725,0,200,0.6666666666666666,0.3825,0.08580000212532468
5,crdt_lww,24,1.0,1.0,0.9094202898550725,0,200,0.6666666666666666,0.3825,0.05549999696086161
5,leader,24,0.6666666666666666,1.0,0.8532608695652174,0,324,0.75,0.19290123456790123,0.039500002458225936
5,ranked_pairs,24,1.0,1.0,0.9094202898550725,0,200,0.6666666666666666,0.3825,3.6084000021219254
6,lww,24,1.0,1.0,0.9298007246376812,0,155,0.8333333333333334,0.42016129032258065,0.05860000237589702
6,vc,24,1.0,0.875,0.5665760869565217,0,957,0.8333333333333334,0.02416405433646813,0.17160000061267056
6,crdt_pure,24,1.0,0.875,0.9298007246376812,0,155,0.8333333333333334,0.42016129032258065,0.07090000144671649
6,crdt_lww,24,1.0,1.0,0.9298007246376812,0,155,0.8333333333333334,0.42016129032258065,0.05020000025979243
6,leader,24,0.5833333333333334,1.0,0.9465579710144928,0,118,1.0,0.4258474576271186,0.03269999797339551
6,ranked_pairs,24,1.0,1.0,0.9298007246376812,0,155,0.8333333333333334,0.42016129032258065,3.7652999999409076
7,lww,24,1.0,1.0,0.9252717391304348,0,165,1.0,0.3340909090909091,0.05120000059832819
7,vc,24,1.0,0.9166666666666666,0.603713768115942,0,875,1.0,0.04442857142857143,0.15999999959603883
7,crdt_pure,24,1.0,0.9166666666666666,0.9252717391304348,0,165,1.0,0.3340909090909091,0.08119999984046444
7,crdt_lww,24,1.0,1.0,0.9252717391304348,0,165,1.0,0.3340909090909091,0.05080000119050965
7,leader,24,0.5416666666666666,1.0,0.9778079710144928,0,49,1.0,0.6709183673469388,0.03339999966556206
7,ranked_pairs,24,1.0,1.0,0.9252717391304348,0,165,1.0,0.3340909090909091,3.4747999998216983
8,lww,24,1.0,1.0,0.9094202898550725,0,200,1.0,0.4,0.05660000169882551
8,vc,24,1.0,1.0,0.5914855072463768,0,902,1.0,0.06485587583148558,0.13829999807057902
8,crdt_pure,24,1.0,1.0,0.9094202898550725,0,200,1.0,0.4,0.05620000229100697
8,crdt_lww,24,1.0,1.0,0.9094202898550725,0,200,1.0,0.4,0.05610000152955763
8,leader,24,0.625,1.0,0.9542572463768116,0,101,1.0,0.4146039603960396,0.03680000008898787
8,ranked_pairs,24,1.0,1.0,0.9094202898550725,0,200,1.0,0.4,3.470999999990454
9,lww,24,1.0,1.0,0.9243659420289855,0,167,1.0,0.3046407185628742,0.04949999856762588
9,vc,24,1.0,1.0,0.6354166666666667,0,805,1.0,0.05574534161490683,0.13390000094659626
9,crdt_pure,24,1.0,1.0,0.9243659420289855,0,167,1.0,0.3046407185628742,0.04640000042854808
9,crdt_lww,24,1.0,1.0,0.9243659420289855,0,167,1.0,0.3046407185628742,0.048899997636908665
9,leader,24,0.6666666666666666,1.0,0.9565217391304348,0,96,1.0,0.4583333333333333,0.032800002372823656
9,ranked_pairs,24,1.0,1.0,0.9243659420289855,0,167,1.0,0.3046407185628742,3.393700000742683
10,lww,24,1.0,1.0,0.9098731884057971,0,199,1.0,0.2342964824120603,0.06800000119255856
10,vc,24,1.0,1.0,0.5720108695652174,0,945,1.0,0.054365079365079366,0.13219999891589396
10,crdt_pure,24,1.0,1.0,0.9098731884057971,0,199,1.0,0.2342964824120603,0.05980000059935264
10,crdt_lww,24,1.0,1.0,0.9098731884057971,0,199,1.0,0.2342964824120603,0.05529999907594174
