M,trial,rp_exact,rp_tau,kemeny_tau,excess_pct,kemeny_ms,rp_violations,kemeny_violations,n_causal
4,0,True,5,5,0.0,0.4105000007257331,0,0,1
4,1,True,5,5,0.0,0.4243000003043562,0,0,0
4,2,True,5,5,0.0,0.4062000007252209,0,0,1
4,3,True,5,5,0.0,0.4079000027559232,0,0,1
4,4,True,5,5,0.0,0.41110000165645033,0,0,1
4,5,True,5,5,0.0,0.42210000174236484,0,0,1
4,6,True,4,4,0.0,0.5983999981253874,0,0,1
4,7,True,5,5,0.0,0.41090000013355166,0,0,0
4,8,True,5,5,0.0,0.40919999810284935,0,0,0
4,9,True,5,5,0.0,0.41400000191060826,0,0,0
4,10,True,5,5,0.0,0.42839999878196977,0,0,1
4,11,True,5,5,0.0,0.41200000123353675,0,0,1
4,12,True,3,3,0.0,0.4613999990397133,0,0,1
4,13,True,4,4,0.0,0.42270000267308205,0,0,1
4,14,True,5,5,0.0,0.4103999999642838,0,0,1
4,15,True,5,5,0.0,0.41120000241789967,0,0,1
4,16,True,5,5,0.0,0.40749999971012585,0,0,1
4,17,True,5,5,0.0,0.41909999708877876,0,0,0
4,18,True,5,5,0.0,0.4212000021652784,0,0,1
4,19,True,3,3,0.0,0.4202999989502132,0,0,1
4,20,True,3,3,0.0,0.4073999989486765,0,0,1
4,21,True,6,6,0.0,0.41369999962626025,0,0,0
4,22,True,4,4,0.0,0.4241999995429069,0,0,0
4,23,True,2,2,0.0,0.4055999997945037,0,0,4
5,0,True,8,8,0.0,2.3892000026535243,0,0,2
5,1,True,8,8,0.0,2.2697000022162683,0,0,1
5,2,True,5,5,0.0,2.358400000957772,0,0,1
5,3,True,9,9,0.0,2.3438999996869825,0,0,1
5,4,True,6,6,0.0,2.341899999009911,0,0,1
5,5,True,8,8,0.0,2.285700000356883,0,0,1
5,6,True,8,8,0.0,2.2981000001891516,0,0,1
5,7,True,6,6,0.0,2.407600000879029,0,0,1
5,8,True,6,6,0.0,2.3709000015514903,0,0,1
5,9,True,8,8,0.0,2.4058999988483265,0,0,1
5,10,True,9,9,0.0,2.5129999994533136,0,0,1
5,11,True,9,9,0.0,2.4483000015607104,0,0,1
5,12,True,7,7,0.0,2.4370000028284267,0,0,1
5,13,True,2,2,0.0,2.4200000007112976,0,0,6
5,14,True,8,8,0.0,2.4141000030795112,0,0,1
5,15,True,9,9,0.0,2.474699998856522,0,0,1
5,16,True,9,9,0.0,2.4180999971576966,0,0,1
5,17,True,6,6,0.0,2.4420000008831266,0,0,1
5,18,True,6,6,0.0,2.429600001050858,0,0,1
5,19,True,6,6,0.0,2.4114999978337437,0,0,1
5,20,True,7,7,0.0,2.3642999985895585,0,0,1
5,21,True,6,6,0.0,2.372700000705663,0,0,1
5,22,True,8,8,0.0,2.396799998678034,0,0,1
5,23,True,8,8,0.0,2.3953000018082093,0,0,1
6,0,True,13,13,0.0,17.721700001857243,0,0,2
6,1,True,10,10,0.0,17.169099999591708,0,0,2
6,2,True,12,12,0.0,17.544300000736257,0,0,0
6,3,True,5,5,0.0,16.59529999960796,0,0,4
6,4,True,8,8,0.0,16.8134999985341,0,0,2
6,5,True,10,10,0.0,17.460800001572352,0,0,1
6,6,True,14,14,0.0,17.279300001973752,0,0,0
6,7,True,7,7,0.0,16.659000000800006,0,0,3
6,8,True,7,7,0.0,16.430199997557793,0,0,4
6,9,True,11,11,0.0,16.8565000021772,0,0,2
6,10,True,8,8,0.0,17.844599999079946,0,0,2
6,11,True,14,14,0.0,16.864400000486057,0,0,0
6,12,True,7,7,0.0,16.978999999992084,0,0,3
6,13,True,11,11,0.0,16.47420000153943,0,0,1
6,14,True,9,9,0.0,17.300300001807045,0,0,2
6,15,True,11,11,0.0,17.418799998267787,0,0,1
6,16,True,6,6,0.0,17.435599998862017,0,0,2
6,17,True,12,12,0.0,17.482600000221282,0,0,1
6,18,True,11,11,0.0,17.456099998526042,0,0,2
6,19,True,7,7,0.0,17.670900000666734,0,0,5
6,20,True,11,11,0.0,16.79320000039297,0,0,2
6,21,True,8,8,0.0,16.76939999742899,0,0,3
6,22,True,13,13,0.0,17.990299998928094,0,0,0
6,23,True,14,14,0.0,17.642300001170952,0,0,0
7,0,True,12,12,0.0,134.3101000020397,0,0,2
7,1,True,10,10,0.0,137.55930000115768,0,0,3
7,2,True,12,12,0.0,138.49539999864646,0,0,2
7,3,True,15,15,0.0,136.07439999759663,0,0,2
7,4,True,12,12,0.0,139.57910000317497,0,0,2
7,5,True,14,14,0.0,136.30660000126227,0,0,2
7,6,True,14,14,0.0,137.18190000145114,0,0,2
7,7,True,12,12,0.0,139.21119999940856,0,0,2
7,8,True,10,10,0.0,137.11520000288147,0,0,4
7,9,True,14,14,0.0,444.01839999773074,0,0,2
7,10,True,16,16,0.0,709.4708000004175,0,0,2
7,11,True,16,16,0.0,722.417699998914,0,0,2
7,12,True,12,12,0.0,680.6240000005346,0,0,4
7,13,True,19,19,0.0,707.4605999987398,0,0,0
7,14,True,14,14,0.0,685.3945999973803,0,0,2
7,15,True,17,17,0.0,681.5295000014885,0,0,2
7,16,True,12,12,0.0,722.7344999992056,0,0,3
7,17,True,19,19,0.0,695.2375000000757,0,0,1
7,18,True,13,13,0.0,714.5684999995865,0,0,4
7,19,True,11,11,0.0,690.7834999983606,0,0,2
7,20,True,17,17,0.0,675.8334000005561,0,0,2
7,21,True,18,18,0.0,687.0949000003748,0,0,2
7,22,True,17,17,0.0,684.7445999992487,0,0,2
7,23,True,18,18,0.0,689.066200000525,0,0,2
8,0,True,17,17,0.0,7029.3149999997695,0,0,3
8,1,True,24,24,0.0,8312.425500000245,0,0,2
8,2,True,20,20,0.0,8521.356299999752,0,0,2
8,3,True,23,23,0.0,6857.150100000581,0,0,3
8,4,True,24,24,0.0,7915.610500000184,0,0,2
8,5,True,23,23,0.0,8043.388900001446,0,0,2
8,6,True,21,21,0.0,8150.429699999222,0,0,2
8,7,True,21,21,0.0,7870.767500000511,0,0,3
8,8,True,20,20,0.0,7737.125899999228,0,0,3
8,9,True,25,25,0.0,4258.3965999983775,0,0,3
8,10,True,24,24,0.0,1357.7379999987897,0,0,2
8,11,True,25,25,0.0,1375.1814999995986,0,0,2
8,12,True,26,26,0.0,1367.043800000829,0,0,2
8,13,True,10,10,0.0,1551.0701000021072,0,0,2
8,14,True,23,23,0.0,1428.9310999993177,0,0,2
8,15,True,15,15,0.0,1370.9737999997742,0,0,3
8,16,True,23,23,0.0,1374.0294000017457,0,0,2
8,17,True,26,26,0.0,1390.6645999995817,0,0,2
8,18,True,20,20,0.0,1365.7650999994075,0,0,3
8,19,True,18,18,0.0,1356.2189000003855,0,0,3
8,20,True,24,24,0.0,1397.544100000232,0,0,2
8,21,True,23,23,0.0,1433.4477999982482,0,0,2
8,22,True,14,14,0.0,1371.458599998732,0,0,5
8,23,True,23,23,0.0,1425.2917999983765,0,0,2
