strategy_a,strategy_b,metric,n,W,p,significant,note,conflict,minority_frac
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,leader,info_retention,30,67.0,0.0006637025355400475,True,,high,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,ranked_pairs,info_retention,30,0.0,1.0,False,tied,high,
crdt_lww,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,high,
crdt_pure,leader,info_retention,30,67.0,0.0006637025355400475,True,,high,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,high,
crdt_pure,ranked_pairs,info_retention,30,0.0,1.0,False,tied,high,
crdt_pure,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,high,
leader,lww,info_retention,30,67.0,0.0006637025355400475,True,,high,
leader,ranked_pairs,info_retention,30,67.0,0.0006637025355400475,True,,high,
leader,vc,info_retention,30,0.0,1.862645149230957e-09,True,,high,
lww,ranked_pairs,info_retention,30,0.0,1.0,False,tied,high,
lww,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,high,
ranked_pairs,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,high,
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,leader,info_retention,30,228.0,0.9262453637342595,False,,low,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,ranked_pairs,info_retention,30,0.0,1.0,False,tied,low,
crdt_lww,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,low,
crdt_pure,leader,info_retention,30,228.0,0.9262453637342595,False,,low,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,low,
crdt_pure,ranked_pairs,info_retention,30,0.0,1.0,False,tied,low,
crdt_pure,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,low,
leader,lww,info_retention,30,228.0,0.9262453637342595,False,,low,
leader,ranked_pairs,info_retention,30,228.0,0.9262453637342595,False,,low,
leader,vc,info_retention,30,0.0,1.862645149230957e-09,True,,low,
lww,ranked_pairs,info_retention,30,0.0,1.0,False,tied,low,
lww,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,low,
ranked_pairs,vc,info_retention,30,0.0,1.7333066441991056e-06,True,,low,
crdt_lww,crdt_pure,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,leader,info_retention,30,55.0,0.000261146671277984,True,,,
crdt_lww,lww,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,ranked_pairs,info_retention,30,0.0,1.0,False,tied,,
crdt_lww,vc,info_retention,30,0.0,1.862645149230957e-09,True,,,
crdt_pure,leader,info_retention,30,55.0,0.000261146671277984,True,,,
crdt_pure,lww,info_retention,30,0.0,1.0,False,tied,,
crdt_pure,ranked_pairs,info_retention,30,0.0,1.0,False,tied,,
crdt_pure,vc,info_retention,30,0.0,1.862645149230957e-09,True,,,
leader,lww,info_retention,30,55.0,0.000261146671277984,True,,,
leader,ranked_pairs,info_retention,30,55.0,0.000261146671277984,True,,,
leader,vc,info_retention,30,0.0,1.862645149230957e-09,True,,,
lww,ranked_pairs,info_retention,30,0.0,1.0,False,tied,,
lww,vc,info_retention,30,0.0,1.862645149230957e-09,True,,,
ranked_pairs,vc,info_retention,30,0.0,1.862645149230957e-09,True,,,
leader,lww,info_retention,15,13.0,0.00537109375,True,,,0.1
leader,ranked_pairs,info_retention,15,13.0,0.00537109375,True,,,0.1
lww,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.1
leader,lww,info_retention,15,16.0,0.01025390625,True,,,0.2
leader,ranked_pairs,info_retention,15,16.0,0.01025390625,True,,,0.2
lww,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.2
leader,lww,info_retention,15,48.0,0.52447509765625,False,,,0.3
leader,ranked_pairs,info_retention,15,48.0,0.52447509765625,False,,,0.3
lww,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.3
leader,lww,info_retention,15,24.5,0.043729843652292204,True,,,0.4
leader,ranked_pairs,info_retention,15,24.5,0.043729843652292204,True,,,0.4
lww,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.4
leader,lww,info_retention,15,1.0,0.0001220703125,True,,,0.5
leader,ranked_pairs,info_retention,15,1.0,0.0001220703125,True,,,0.5
lww,ranked_pairs,info_retention,15,0.0,1.0,False,tied,,0.5
